"충전소명",충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
"조은리조트",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 이어도로 721,제주특별자치도 서귀포시 강정동 2486,지엔텔,,33.2358824,126.4920943,2018-07-03
"동백동산",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 조천읍 북흘로 378,제주특별자치도 제주시 조천읍 선흘리 999,지엔텔,,33.534457,126.7004904,2018-07-03
"지중해리조트",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 남원읍 남태해안로 445,제주특별자치도 서귀포시 남원읍 태흥리 1148,지엔텔,,33.2829039,126.7469756,2018-07-03
"㈜에이치엠자산관리",야외주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 대정읍 에듀시티로 102,제주특별자치도 서귀포시 대정읍 보성리 2417,지엔텔,,33.286509,126.281098,2018-07-03
"동복리671",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 구좌읍 구좌해안로 52-13,제주특별자치도 제주시 구좌읍 동복리 671,지엔텔,,33.5561229,126.7205363,2018-07-03
"하이랜드",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 이어도로 244,제주특별자치도 서귀포시 대포동 2270,지엔텔,,33.2422489,126.4453293,2018-07-03
"브런치더썸",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 일주동로 8921,제주특별자치도 서귀포시 호근동 566,지엔텔,,33.2521893,126.5379776,2018-07-03
"오션베스트빌구내",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 조천읍 조함해안로 221,제주특별자치도 제주시 조천읍 신흥리 791,지엔텔,,33.5530886,126.6447555,2018-07-03
"알프스보석궁전테마파크",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 한경면 연명로 159-7,제주특별자치도 제주시 한경면 청수리 958,지엔텔,,33.2910222,126.2492299,2018-07-03
"도라미펜션",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 일주동로 8215,제주특별자치도 서귀포시 신효동 924,지엔텔,,33.255487,126.5686054,2018-07-03
"나우씨앤씨",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 하신상로 166,제주특별자치도 서귀포시 신효동 506-9,지엔텔,,33.2761847,126.6067488,2018-07-03
"소금막호스텔",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 쇠소깍로 151-10,제주특별자치도 서귀포시 하효동 1028-2,지엔텔,,33.2503895,126.6205806,2018-07-03
"제주아이브",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 산록남로 1966-34,제주특별자치도 서귀포시 영남동 224-1,지엔텔,,33.2881355,126.4969259,2018-07-03
"디스이즈핫",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 구좌읍 하도15길 153-5,제주특별자치도 제주시 구좌읍 하도리 59-1,지엔텔,,33.5131782,126.8973861,2018-07-03
"갯그시",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 성산읍 환해장성로 469,제주특별자치도 서귀포시 성산읍 온평리 1191,지엔텔,,33.4121987,126.9047711,2018-07-03
"금앤옥통나무펜션",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 남원읍 중산간동로 7141번길 6,제주특별자치도 서귀포시 남원읍 신례리 729-1,지엔텔,,33.282069,126.630107,2018-07-03
"선스토리",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 표선면 표선백사로 60번길 72,제주특별자치도 서귀포시 표선면 표선리 1160-1,지엔텔,,33.3164616,126.8377788,2018-07-03
"에띠에호스텔",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 이어도로 738,제주특별자치도 서귀포시 강정동 2503-1,지엔텔,,33.240469,126.493008,2018-07-03
"가산토방",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 인정오름로 90,제주특별자치도 서귀포시 토평동 3077,지엔텔,,33.2873173,126.5775863,2018-07-03
"파인힐호텔",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 부두로 44,제주특별자치도 서귀포시 서귀동 776-1,지엔텔,,33.241328,126.5644681,2018-07-03
"모던플레이스",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 상예로 262,제주특별자치도 서귀포시 상예동 185-1,지엔텔,,33.2585723,126.392539,2018-07-03
"중앙교회",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 연사길 17,제주특별자치도 제주시 오라2동 953-2,지엔텔,,33.4877657,126.508931,2018-07-03
"제주스카이휴양펜션",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 표선면 세성로 352-32,제주특별자치도 서귀포시 표선면 세화리 1002-2,지엔텔,,33.3355222,126.7983666,2018-07-03
"메이더호텔",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 구좌읍 일주동로 1626,제주특별자치도 제주시 구좌읍 동복리 1652-2,지엔텔,,33.5523722,126.7058347,2018-07-03
"㈜제주테마조각공원",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 1100로 2894-72,제주특별자치도 제주시 연동 680-26,지엔텔,,33.4519922,126.4890053,2018-07-03
"제주 서비스센터",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 조천읍 일주동로 1323,,현대자동차,,33.5393639,126.681838,2018-07-03
"산지공업사",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 선반로 62,,현대자동차,,33.5148929,126.5645359,2018-07-03
"제주 사옥",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 연동 291-44,,현대자동차,,33.4899806,126.4956776,2018-07-03
GS25 너울빌리지점,주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 한경면 일주서로 4469,제주특별자치도 제주시 한경면 금등리 646,한국전기차충전서비스,,33.3414039,126.1898997,2018-07-03
"현대자동차 블루핸즈 노형북부점",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 월광로 43,제주특별자치도 제주시 노형동 2820-1,한국전기차충전서비스,,33.4854792,126.4655444,2018-07-03
"현대자동차 블루핸즈 한림점",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 한림읍 일주서로 5697,제주특별자치도 제주시 한림읍 귀덕리 3738-8,한국전기차충전서비스,,33.4095489,126.2638736,2018-07-03
"현대자동차 블루핸즈 아라점",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 아봉로 11,제주특별자치도 제주시 아라2동 1622-3,한국전기차충전서비스,,33.4734957,126.5712811,2018-07-03
"현대자동차 블루핸즈 연동점",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 신대로21길 34-1,제주특별자치도 제주시 연동 456-2,한국전기차충전서비스,,33.4819314,126.5002893,2018-07-03
GS25 안덕서광점,주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 안덕면 중산간서로 1882,제주특별자치도 서귀포시 안덕면 서광리 716-1,한국전기차충전서비스,,33.2862497,126.3077305,2018-07-03
"제주지방합동청사",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 청사로 59,제주특별자치도 제주시 도남동 662,한국전기차충전서비스,,33.490454,126.5253079,2018-07-03
"라마다호텔 제주",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 탑동로 66,제주특별자치도 제주시 삼도2동 1254,한국전기차충전서비스,,33.5185924,126.5175016,2018-07-03
"형제공업사",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 일주서로 7266,제주특별자치도 제주시 외도 1동 2023-5,한국전기차충전서비스,,33.4916411,126.4237923,2018-07-03
"탑동2공영주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 삼도2동 1257,,한국전기차충전서비스,,33.5182983,126.5198951,2018-07-03
"제주대학교 병원",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 아란13길 15,제주특별자치도 제주시 아라1동 1753-3,한국전기차충전서비스,,33.4670429,126.5457558,2018-07-03
"하귀 농협 장례식장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 애조로 405,제주특별자치도 제주시 애월읍 광령리 3672-1,한국전기차충전서비스,,33.4730618,126.4265546,2018-07-03
"애월농협 하나로마트",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 애원로 41,제주특별자치도 제주시 애월읍 애월리 1400-1,한국전기차충전서비스,,33.460321,126.3215331,2018-07-03
"하귀 농협 복지센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 일주서로 7020,제주특별자치도 제주시 애월읍 하귀2리 1763-1,한국전기차충전서비스,,33.466277,126.3511114,2018-07-03
"연동공영주차장",지상1층,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 연동 272-31,,한국전기차충전서비스,,33.4890445,126.491207,2018-07-03
"한국충전본사",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 연삼로 61,제주특별자치도 제주시 연동 177,한국전기차충전서비스,,33.4938605,126.4991399,2018-07-03
"기아오토큐 오라동대리점",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 연삼로 116,제주특별자치도 제주시 오라3동 2811-4,한국전기차충전서비스,,33.5011704,126.5402581,2018-07-03
"롯데리아 제주외도 DT",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 일주서로 7335,제주특별자치도 제주시 외도2동 343-9,한국전기차충전서비스,,33.4937504,126.4300165,2018-07-03
"제주공항 입구주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 다호북길 7,제주특별자치도 제주시 용담2동 1611-2,한국전기차충전서비스,,33.5019756,126.4920848,2018-07-03
"일도이동공영주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 일도2동 488-1,,한국전기차충전서비스,,33.5106341,126.5442435,2018-07-03
"조천농협 농산물산지유통센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 일주동로 757,제주특별자치도 제주시 조천읍 신촌리 1733-2,한국전기차충전서비스,,33.5314441,126.8206181,2018-07-03
"한경농협",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 신한로 76,제주특별자치도 제주시 한경면 신창리 18-2,한국전기차충전서비스,,33.3465629,126.1902065,2018-07-03
"기아오토큐 화북대리점",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 일주동로 14,제주특별자치도 제주시 화북2동 4837-1,한국전기차충전서비스,,33.5118008,126.5492415,2018-07-03
"롯데하이마트 신제주점",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 도령로 16,제주특별자치도 제주시 노형동 903-3,한국전기차충전서비스,,33.4865713,126.4812285,2018-07-03
KT 성산포지사,주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 서성일로 1244-3,제주특별자치도 서귀포시 성산읍 고성리 1106-7,한국전기차충전서비스,,33.4268965,126.8647243,2018-07-03
"위미 농협",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 태위로 126,제주특별자치도 서귀포시 남원읍 위미리 2832-6,한국전기차충전서비스,,33.2745832,126.6609677,2018-07-03
"희준카센타",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 일주서로 2968,제주특별자치도 서귀포시 대정읍 일과리 1821-1,한국전기차충전서비스,,33.2402708,126.2507128,2018-07-03
"약천사",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 하원동 1698-1,,한국전기차충전서비스,,33.326215,126.4716831,2018-07-03
"코리아마트",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 동홍서로 42-6,제주특별자치도 서귀포시 동홍동 644-3,한국전기차충전서비스,,33.2523774,126.570198,2018-07-03
"대유랜드",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 상예로 381,제주특별자치도 서귀포시 상예동 145,한국전기차충전서비스,,33.2787568,126.394896,2018-07-03
"㈜상효원",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 산록남로 2847-37,제주특별자치도 서귀포시 상효동 산 25,한국전기차충전서비스,,33.306381,126.5843885,2018-07-03
"롯데호텔",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 중문관광로72번길 35,제주특별자치도 서귀포시 색달동 2812-4,한국전기차충전서비스,,33.2485349,126.4103936,2018-07-03
"천지공영주차장",지상1층,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 서귀동 305-1,,한국전기차충전서비스,,33.2515976,126.5594295,2018-07-03
"서귀포매일올레시장",지상2층,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 중앙로62번길,제주특별자치도 서귀포시 서귀동 277-2,한국전기차충전서비스,,33.2515016,126.5638433,2018-07-03
"성산일출봉",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 일출로 284-6,제주특별자치도 서귀포시 성산읍 성산리 114-3,한국전기차충전서비스,,33.4624691,126.9352237,2018-07-03
"동광 R 주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 안덕면 동광리 827,,한국전기차충전서비스,,33.3109558,126.3416458,2018-07-03
"안덕농협 하나로마트",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 화순로 122,제주특별자치도 서귀포시 안덕면 화순리 1089-1,한국전기차충전서비스,,33.2465809,126.333321,2018-07-03
"서귀포시축산업협동조합(한우명품관)",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 일주동로 8421,제주특별자치도 서귀포시 토평동 262-1 ),한국전기차충전서비스,,33.2572426,126.5885177,2018-07-03
"성읍랜드",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 표선면 번영로 2650,제주특별자치도 서귀포시 (표선면 성읍리 2045-1),한국전기차충전서비스,,33.3726822,126.7971235,2018-07-03
"표선농협 하나로마트",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 표선동서로 233,제주특별자치도 서귀포시 (표선면 표선리 684),한국전기차충전서비스,,33.3247771,126.8319867,2018-07-03
GS25 서귀대포점,주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 이어도로 129,제주특별자치도 서귀포시 대포동 2411-1),한국전기차충전서비스,,33.2391543,126.4362409,2018-07-03
"롯데하이마트 서귀포점",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 일주동로 8631,제주특별자치도 서귀포시 동홍동 458-5),한국전기차충전서비스,,33.2539126,126.5661853,2018-07-03
GS25중문사거리점,주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 중문로 80,제주특별자치도 서귀포시 (중문동 1351-1),한국전기차충전서비스,,33.258334,126.4214249,2018-07-03
"현대자동차 블루핸즈 외도점",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 우평로 345-8,제주특별자치도 제주시 (외도1동 1350-1),한국전기차충전서비스,,33.4810832,126.4510066,2018-07-03
"함덕농협하나로마트",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 조천읍 함와로 40,제주특별자치도 제주시 조천읍 (함덕리 72-4),한국전기차충전서비스,,33.536657,126.674625,2018-07-03
"제주시농협 하나로마트 제주점",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 남광로 206,제주특별자치도 제주시 (건입동 49-1),한국전기차충전서비스,,33.5029625,126.553699,2018-07-03
"제주대학교 제2도서관",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 제주대학로 102,제주특별자치도 제주시 아라1동 1),한국전기차충전서비스,,33.4553037,126.5616176,2018-07-03
"제주대학교 학생주차장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 제주대학로 102,제주특별자치도 제주시 아라1동 1),한국전기차충전서비스,,33.4553037,126.5616176,2018-07-03
"아모렉스 리조트",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 서해안로 216,제주특별자치도 제주시 도두1동 1742),한국전기차충전서비스,,33.5074916,126.4702754,2018-07-03
"남원농협 하나로마트",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 남원읍 남조로 52,제주특별자치도 서귀포시 남원읍 남원리 226),한국전기차충전서비스,,33.3190481,126.7087521,2018-07-03
"제주시농협 하나로유통센터",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 월광로 77,제주특별자치도 제주시 노형동 2860),한국전기차충전서비스,,33.4877055,126.4680465,2018-07-03
"넥슨박물관",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 1100로 3198-8,제주특별자치도 제주시 노형동 86),한국전기차충전서비스,,33.4723868,126.485337,2018-07-03
NH농협은행 제주수련원,주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 서귀포시 표선면 세화리 1569,,한국전기차충전서비스,,33.305920,126.7946278,2018-07-03
"하얏트 리젠시 제주 호텔",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 중문관광로 72번길 114,제주특별자치도 서귀포시 색달동 3039-1),한국전기차충전서비스,,33.2455761,126.4055533,2018-07-03
"잠도둑 게스트하우스",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 성산읍 일주동로 5379,제주특별자치도 서귀포시 (성산읍 신풍리 37),한국전기차충전서비스,,33.416346,126.889907,2018-07-03
"제주바다목장",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,Y,,,,N,제주특별자치도 제주시 한경면 한경해안로 565,제주특별자치도 제주시 (한경면 신창리 542-9),한국전기차충전서비스,,33.3328723,126.1697983,2018-07-03
"다이아나호텔",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 임항로 249,제주특별자치도 제주시 건입동 658-1),한국전기차충전서비스,,33.5183479,126.5387193,2018-07-03
"제주필하우스",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 조천읍 일주동로 1415,제주특별자치도 제주시 (조천읍 북촌리 1586-1),한국전기차충전서비스,,33.544947,126.6863809,2018-07-03
"선반내주유소",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 일주동로 8780,제주특별자치도 서귀포시 서홍동 1153),한국전기차충전서비스,,33.2529872,126.5509089,2018-07-03
"스프링데일CC(동국개발)",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 남원읍 서성로 459,,한국전기차충전서비스,,33.3245683,126.6627718,2018-07-03
"켄싱턴 제주 호텔",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 중문관광로72번길 60,,한국전기차충전서비스,,33.2520261,126.4077400,2018-07-03
WE호텔,주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 1100로 453-95,,한국전기차충전서비스,,33.2862186,126.4442655,2018-07-03
"하모니리조트",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 한림읍 협재로 213,,한국전기차충전서비스,,33.3870114,126.2623205,2018-07-03
"피노호텔",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 천지연로29번길 5,,한국전기차충전서비스,,33.2408733,126.5631225,2018-07-03
"펄리호텔",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 노형로 79,,한국전기차충전서비스,,33.4838727,126.4699215,2018-07-03
"중문메리디안",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 1100로 36,,한국전기차충전서비스,,33.2862573,126.4440737,2018-07-03
"제주노블레스관광호텔",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 월성로4길 19,,한국전기차충전서비스,,33.5014564,126.5034049,2018-07-03
"은빌레펜션",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 남원읍 한신로 247-3,,한국전기차충전서비스,,33.3117075,126.7168645,2018-07-03
"세원멤버스",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 원노형3길 13,,한국전기차충전서비스,,33.4864363,126.4844124,2018-07-03
"(주)샵원더",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 연북로 161,,한국전기차충전서비스,,33.4821031,126.4987553,2018-07-03
"세븐일레븐 제주함덕게스트하우스",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 조천읍 신북로 643,,한국전기차충전서비스,,33.540729,126.6782084,2018-07-03
"레지나펜션",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 이어도로 789,,한국전기차충전서비스,,33.2368373,126.4995612,2018-07-03
"명도암 마을회",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 명림로 268-69,,한국전기차충전서비스,,33.4616354,126.6070908,2018-07-03
"허브펜션오즈",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 표선면 표선백사로58번길 36,,한국전기차충전서비스,,33.3185108,126.8334258,2018-07-03
"난지축산연구소",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 산록북로 593-50,,한국전기차충전서비스,,33.4274500,126.5482938,2018-07-03
"서귀포시 생활환경과",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 산록남로1241번길 145,,한국전기차충전서비스,,33.3070418,126.419081,2018-07-03
"카멜리아힐",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 안덕면 병악로 166,,한국전기차충전서비스,,33.2901143,126.3684044,2018-07-03
"꼬뜨도르호텔",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 구좌읍 일주동로 1724,,한국전기차충전서비스,,33.5521173,126.7169202,2018-07-03
"관음사가는길",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 산록북로 819,,한국전기차충전서비스,,33.4360741,126.5538129,2018-07-03
"성산아쿠아비치호텔",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 성산읍 일주동로 4258,,한국전기차충전서비스,,33.4143696,126.8999778,2018-07-03
"이노우에스시",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 과원로 78-1,,한국전기차충전서비스,,33.4771542,126.491468,2018-07-03
"평원헤모아빌",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 연사2길 76,,한국전기차충전서비스,,33.4859234,126.5131279,2018-07-03
"제주휴리조트",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 성산읍 난고로 228,,한국전기차충전서비스,,33.4200962,126.8870067,2018-07-03
"종가전복",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 구좌읍 해맞이해안로 1306,,한국전기차충전서비스,,33.5291668,126.8538817,2018-07-03
"키아오라펜션",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 성산읍 난고로42번길 3,,한국전기차충전서비스,,33.4342204,126.9050229,2018-07-03
"한국자동차공업사",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 오라로 72,,한국전기차충전서비스,,33.4954658,126.5109145,2018-07-03
"마레 호텔",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 29,,한국전기차충전서비스,,33.4417906,126.9188826,2018-07-03
"종이시계",주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 애월읍 애월해안로 899,,한국전기차충전서비스,,33.4853375,126.3918721,2018-07-03
"카이리조트",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 한림읍 협재2길 10,,한국전기차충전서비스,,33.393962,126.2390984,2018-07-03
"금강산콘도",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 한림읍 협재로 210-18,,한국전기차충전서비스,,33.3793824,126.2502022,2018-07-03
"라온프라이빗타운",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 한림읍 금능남로 127,,한국전기차충전서비스,,33.3760556,126.2441268,2018-07-03
"탐라스테이호텔제주",주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 애월읍 애월해안로 881,,한국전기차충전서비스,,33.4782235,126.3665625,2018-07-03
