"충전소명",충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
"제주종합경기장2",애향운동장 앞 주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 서광로2길 24,제주특별자치도 제주시 오라1동 1137,환경부(한국자동차환경협회),,33.4949885,126.5189264,2018-07-03
"외도동 주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 일주서로 7350,제주특별자치도 제주시 외도이동 233-4,환경부(한국자동차환경협회),,33.4929556,126.4322517,2018-07-03
"건입동 주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 만덕로 18,제주특별자치도 제주시 건입동 1189-2,환경부(한국자동차환경협회),,33.5150116,126.5315988,2018-07-03
"해군호텔",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 해안마을서2길 19,제주특별자치도 제주시 해안동 2378-1,환경부(한국자동차환경협회),,33.4590325,126.448717,2018-07-03
"제주농업기술센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 애월읍 상귀길 173,제주특별자치도 제주시 애월읍 상귀리 750,환경부(한국자동차환경협회),,33.4592643,126.403769,2018-07-03
"만장굴",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 월정리 산 41-5,환경부(한국자동차환경협회),,33.5291000,126.7714308,2018-07-03
"성판악",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 조천읍 516로 1865,제주특별자치도 제주시 조천읍 교래리 산 137-24,환경부(한국자동차환경협회),,33.3848518,126.6195473,2018-07-03
"도남1차e편한세상아파트",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 오남로 7-13,제주특별자치도 제주시 도남동 800,환경부(한국자동차환경협회),,33.4949748,126.5226164,2018-07-03
"민속자연사박물관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 삼성로 40,제주특별자치도 제주시 일도이동 996-1,환경부(한국자동차환경협회),,33.5061399,126.5316454,2018-07-03
"한라생태숲",한라생태숲관리연구소,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 516로 2596,제주특별자치도 제주시 용강동 산 14-1,환경부(한국자동차환경협회),,33.430924,126.595761,2018-07-03
"제주특별자치도 인재개발원",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 산천단동길 26,제주특별자치도 제주시 아라일동 368-20,환경부(한국자동차환경협회),,33.4468976,126.5601614,2018-07-03
"외도부영2차아파트",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 우평로 318,제주특별자치도 제주시 외도일동 560-2,환경부(한국자동차환경협회),,33.4849821,126.4329506,2018-07-03
"교래자연휴양림",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도 제주시 조천읍 교래리 산 95,환경부(한국자동차환경협회),,33.4417685,126.6666615,2018-07-03
"신천지아파트",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 천수로 72,제주특별자치도 제주시 일도이동 47-1,환경부(한국자동차환경협회),,33.5044984,126.5442752,2018-07-03
"설문대여성문화센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 선덕로 8길 12,제주특별자치도 제주시 연동 324-10,환경부(한국자동차환경협회),,33.4844207,126.500595,2018-07-03
"봉개동 주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 봉개북1길 15,제주특별자치도 제주시 봉개동 1824-1,환경부(한국자동차환경협회),,33.4917114,126.5948784,2018-07-03
"보건환경연구원",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 삼동길 41,제주특별자치도 제주시 연동 1452-1,환경부(한국자동차환경협회),,33.4798486,126.4951395,2018-07-03
"추자면사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 추자면 추자로 26,제주특별자치도 제주시 대서리 19-1,환경부(한국자동차환경협회),,33.963599,126.2961362,2018-07-03
"자치경찰단",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 기자길 7,제주특별자치도 제주시 아라이동 1371-2,환경부(한국자동차환경협회),,33.4850238,126.5442901,2018-07-03
"환경성질환예방관리센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 구좌읍 다랑쉬북로 68-92,제주특별자치도 제주시 구좌읍 평대리 2981,환경부(한국자동차환경협회),,33.4845806,126.8321006,2018-07-03
"애월도서관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 애월읍 일주서로 6339,제주특별자치도 제주시 애월읍 고내리 1364,환경부(한국자동차환경협회),,33.4633203,126.3313846,2018-07-03
"제주농업기술원",민원인 주차장 안쪽,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 중산간서로 212,제주특별자치도 서귀포시 강정동 3458,환경부(한국자동차환경협회),,33.2613191,126.4890452,2018-07-03
"성산읍사무소",본관주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 성산읍 일주동로 4330,제주특별자치도 서귀포시 성산읍 고성리 1023-2,환경부(한국자동차환경협회),,33.416346,126.889907,2018-07-03
"표선면사무소",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 표선면 표선중앙로 74,제주특별자치도 서귀포시 표선면 표선리 701,환경부(한국자동차환경협회),,33.3262254,126.8321113,2018-07-03
"대정읍사무소",본관주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 대정읍 하모중앙로 20,제주특별자치도 서귀포시 대정읍 하모리 1413,환경부(한국자동차환경협회),,33.2267537,126.2520832,2018-07-03
"안덕면사무소",본관주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 안덕면 화순서서로 74,제주특별자치도 서귀포시 안덕면 화순리 1961-1,환경부(한국자동차환경협회),,33.2575319,126.3307426,2018-07-03
"제주서귀포시청 제1청사",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 중앙로 105,제주특별자치도 서귀포시 서홍동 440-1,환경부(한국자동차환경협회),,33.2540922,126.5601945,2018-07-03
"제주일출랜드",본관주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주특별자치도 서귀포시 성산읍 삼달리 1010,환경부(한국자동차환경협회),,33.3835243,126.8413634,2018-07-03
"제주국제컨벤션센터",면세점 앞 대형주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 중문관광로 224,제주특별자치도 서귀포시 중문동 2700,환경부(한국자동차환경협회),,33.2413649,126.4245153,2018-07-03
"제주영어교육도시",지원사무소 앞 주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 대정읍 구억리 625-1,제주특별자치도 서귀포시 대정읍 구억리 625-1,환경부(한국자동차환경협회),,33.2859513,126.2833138,2018-07-03
"산방산",주차장 장애인 주차구역 앞,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 안덕면 사계리 163-1,제주특별자치도 서귀포시 안덕면 사계리 163-1,환경부(한국자동차환경협회),,33.2359439,126.3119793,2018-07-03
"성읍민속마을",성읍민속마을 주차장 우측 끝,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 표선면 성읍정의현로22번길 7-1,제주특별자치도 서귀포시 표선면 성읍리 987,환경부(한국자동차환경협회),,33.3846452,126.802159,2018-07-03
"중문랜드",주차장 좌측,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 소보리당로164번길 62,제주특별자치도 서귀포시 상예동 2802,환경부(한국자동차환경협회),,33.2639753,126.3852041,2018-07-03
"서귀포천지연폭포",천지연폭포 매표소 앞,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 남성중로 2-15,제주특별자치도 서귀포시 서홍동 666-1,환경부(한국자동차환경협회),,33.2447447,126.5597544,2018-07-03
"제주월드컵경기장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 법환동 870,,환경부(한국자동차환경협회),,33.2481172,126.5110332,2018-07-03
"무릉문화의집",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 대정읍 무릉리 3314-1,,환경부(한국자동차환경협회),,33.2734542,126.1990405,2018-07-03
"표선생활체육관",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 표선면 한마음초등로 399,제주특별자치도 서귀포시 표선면 하천리 1832-1,환경부(한국자동차환경협회),,33.3544886,126.8146643,2018-07-03
"제주 곶자왈 도립공원입구",도립공원입구,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 대정읍 에듀시티로 178,제주특별자치도 서귀포시 대정읍 보성리 산1,환경부(한국자동차환경협회),,33.2851761,126.2791491,2018-07-03
"서귀포예술의전당",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 태평로 270,제주특별자치도 서귀포시 서홍동 551-1,환경부(한국자동차환경협회),,33.247167,126.5510603,2018-07-03
"동부소방서",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 성산읍 일주동로 4120번길 7,제주특별자치도 서귀포시 성산읍 오조리 933,환경부(한국자동차환경협회),,33.460229,126.9100702,2018-07-03
"서귀포농업기술센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 남원읍 중산간동로 7413,제주특별자치도 서귀포시 남원읍 하례리 1558,환경부(한국자동차환경협회),,33.3039456,126.6708275,2018-07-03
"모구리야영장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 성산읍 서성일로 260,제주특별자치도 서귀포시 성산읍 난산리 2971,환경부(한국자동차환경협회),,33.4268965,126.8647243,2018-07-03
"동홍동 주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 동홍로 104,제주특별자치도 서귀포시 동홍동 577,환경부(한국자동차환경협회),,33.2578824,126.5689267,2018-07-03
"영천동 주민센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 토평로 15,제주특별자치도 서귀포시 토평동 2202-3,환경부(한국자동차환경협회),,33.2687729,126.5867363,2018-07-03
"자치경찰단 서귀포지역경찰대",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 부두로 1,제주특별자치도 서귀포시 서귀동 556-15,환경부(한국자동차환경협회),,33.2450723,126.5658726,2018-07-03
"보목하수처리장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 보목로 64번길 155,제주특별자치도 서귀포시 보목동 1411-1,환경부(한국자동차환경협회),,33.243313,126.5914917,2018-07-03
"서귀포 자기주도학습지원센터",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 서귀포시 동홍중앙로 7번길 19,제주특별자치도 서귀포시 동홍동 402-3,환경부(한국자동차환경협회),,33.2511945,126.5705907,2018-07-03
"보타리본사",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 애월읍 봉성리 2918,,보타리에너지,,33.4086598,126.3172482,2018-07-03
"보타리농장",주차장,제주특별자치도,연중무휴,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 애월읍 봉성리 1316-2,,보타리에너지,,33.3689588,126.3505941,2018-07-03
"제주 에코티엘",주차장,제주특별자치도,입주민외 이용불가,00:00,23:59,N,Y,,,,N,제주특별자치도 제주시 연동 251-69,,대영채비,,33.4892569,126.4876321,2018-07-03
"라온레저개발㈜",야외주차장,제주특별자치도,연중무휴,00:00,23:59,N,N,,,,N,제주특별자치도 제주시 한경면 용금로 998,제주특별자치도 제주시 한경면 저지리 산 18,지엔텔,,33.3448687,126.2782452,2018-07-03
"켄싱턴리조트 서귀포점",야외주차장,제주특별자치도,연중무휴,00:00,23:59,N,N,,,,N,제주특별자치도 서귀포시 이어도로 684,제주특별자치도 서귀포시 강정동 2677,지엔텔,,33.2335747,126.4890087,2018-07-03
"해비치호텔앤드리조트㈜",야외주차장,제주특별자치도,연중무휴,00:00,23:59,N,N,,,,N,제주특별자치도 서귀포시 표선면 원님로 399번길 319,제주특별자치도 서귀포시 표선면 신흥리 산30,지엔텔,,33.3601625,126.725640,2018-07-03
"㈜캐슬렉스 제주",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 안덕면 평화로 1241,제주특별자치도 서귀포시 안덕면 광평리 351,지엔텔,,33.3402516,126.3487746,2018-07-03
"라헨느리조트㈜",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 명림로 374,제주특별자치도 제주시 봉개동 237-5,지엔텔,,33.454163,126.6144026,2018-07-03
"그랑블제주알엔지㈜",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 한림읍 화전길 82,제주특별자치도 제주시 한림읍 금악리 산32-1,지엔텔,,33.348237,126.365571,2018-07-03
"테디벨리골프엔리조트",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 안덕면 한창로 365,제주특별자치도 서귀포시 안덕면 상창리 2893,지엔텔,,33.2890716,126.3514959,2018-07-03
"주식회사 비체올린",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 한경면 판조로 253-6,제주특별자치도 제주시 한경면 판포리 산 8,지엔텔,,33.3502456,126.2181917,2018-07-03
"우선종합주식회사",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 조천읍 함덕남2길 14,제주특별자치도 제주시 조천읍 함덕리 2551-1,지엔텔,,33.5354648,126.6614345,2018-07-03
"뉴해안풍경",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 신사수2길 8-2,제주특별자치도 제주시 도두2동 1652,지엔텔,,33.5084336,126.4752901,2018-07-03
"주식회사 캔디원",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 조천읍 선교로 384,제주특별자치도 제주시 조천읍 선흘리 1776,지엔텔,,33.4727191,126.7061921,2018-07-03
"달빛바다팬션",야외주차장,제주특별자치도,고객외 이용불가,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 어영길 64-12,제주특별자치도 제주시 용담3동 1210-5,지엔텔,,33.5182347,126.4960844,2018-07-03
"제주허브동산",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 표선면 돈오름로 170,제주특별자치도 서귀포시 표선면 표선리 2608,지엔텔,,33.3298498,126.8148541,2018-07-03
"해변풍경 민박",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 도두봉2길 71,제주특별자치도 제주시 도두2동 1621,지엔텔,,33.5074016,126.4757032,2018-07-03
"주식회사 노형호텔",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 수덕1길 7,제주특별자치도 제주시 노형동 1288-4,지엔텔,,33.486076,126.476315,2018-07-03
"솔",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 구좌읍 해맞이해안로 2478,제주특별자치도 제주시 구좌읍 종달리 722,지엔텔,,33.5291668,126.8538817,2018-07-03
"제주조랑말타운",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 표선면 번영로 2486,제주특별자치도 서귀포시 표선면 성읍리 2867,지엔텔,,33.3726822,126.7971235,2018-07-03
"느영나영초가집",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 남원읍 태위로 483,제주특별자치도 서귀포시 남원읍 남원리 2453-5,지엔텔,,33.280681,126.707391,2018-07-03
"동부휴게소",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 조천읍 번영로 1619,제주특별자치도 제주시 조천읍 선흘리 1938-2,지엔텔,,33.4574092,126.7037176,2018-07-03
