행정구역,매장수,인구수,매장비율,인구비율,매장/인구
서울,142,9577030,58.921161825726145,42.785275638930216,1.377136431770792
광주,4,1469981,1.6597510373443984,6.567123865017681,0.25273636853199966
대구,13,2927925,5.394190871369295,13.080472565619484,0.4123850147086662
대전,20,1450439,8.29875518672199,6.479820196078983,1.2807076331753258
부산,36,3385964,14.937759336099585,15.126756733924266,0.9875057554537899
울산,7,1144299,2.904564315352697,5.112143130840376,0.568169599522778
인천,19,2428301,7.883817427385892,10.848407869588995,0.7267257575635917
