행정구역,매장수,인구수,매장비율,인구비율,매장/인구
서울,106,9577030,55.497382198952884,42.785275638930216,1.2971140508080765
부산,19,3385964,9.947643979057592,15.126756733924266,0.6576190887467864
대구,20,2927925,10.471204188481675,13.080472565619484,0.8005218569858118
인천,19,2428301,9.947643979057592,10.848407869588995,0.9169681024755267
광주,12,1469981,6.282722513089005,6.567123865017681,0.956693164652543
대전,10,1450439,5.2356020942408374,6.479820196078983,0.807985705746737
울산,5,1144299,2.6178010471204187,5.112143130840376,0.5120750691286069
