트위터,날짜
그냥 일본기업입니다 수십년간 한국에서 벌어들인 이익금은 전부 일본으로 넘어갑니다 불매운동이라도 벌려야겠지요? https://twitter.com/antimbcafe/status/741993803981066245 …,2016-06-12
보도에 의하면 한국 롯데에서 국내에서 번 돈을 일본으로 유출시키는 의혹이 있어서 이를 수사를 통해 밝히려고 신동빈회장 아파트등을 압수수색 하였다는데 롯데의 국부유출이 사실로 밝혀지면 엄중처벌함과 아울러 롯데에 대한 전국민적 불매운동을 벌려야 되겠슴.,2016-06-11
롯데 불매운동에 앞장서 주세요 롯데 계열사들이 수백억대 빼돌려 일본으로 국부유출... 10대 재벌 중 하나 정도는 시민들이 나서 해체하는 힘을 발휘해야 경제민주화 실현과 재벌개혁을 이룰 수가 있습니다 pic.twitter.com/JWugft1NTS,2016-06-10
일본기업이라고 불매운동 벌일듯,2016-06-05
ㅁㅈ..이어지는걸 우리가 이해할 수 잇게 잘만 해줫어도 같이 예뻐해줫겟지..근데 뚝 끝내버린다하니 썩 좋게 보이진 않음...일본ㅁ쪽에선 불매운동도 햇엇다는데0ㅅ0...난 운동까진 안하구 걍 접을래(앱 삭제,2016-06-04
맘충년들이노답인게 하라는불매운동 Sk-2(독도일본땅발언) 롯데마트(옥시등판매..) 남양유업(갑질) 옥시(살인가습기) 등 불매운동하라할땐 안하면서 애꿏은 영세업체에게만 OOO.. http://naver.me/GFEIs54f,2016-06-01
이런자들은 독제정권에나 있을 만한일이지요 이런자들은 평생감방이 약이지요 그리 않에도 롯데라면 한국기업도 않이고 일본기업 인데 이제는 롯데 불매운동을 해야 마당 합니다,2016-05-31
일본 펜 나홀로 불매운동하는데 일본펜 너무좋아서 짜증남ㅜㅜㅜ 근데 미쯔비시 그 강제동원해간거생각하면 빡치고ㅜㅜ후,2016-05-27
폭스바겐이 한국인을 뭘로 보기에 미국과 일본에는 보상을 하면서 한국에는 나몰라라 한다??? 완전 우끼는 인간 말종들이네? 시민단체에서는 뭐하는가? 저런것들은 불매운동을 벌여서 한국에서 한대도 못팔아 먹게 해야지???,2016-05-20
옥시는 한국사람들은? 냄비근성?강대국에는 꼼짝못하는 민족?시간지나면 잊어버리는 민족으로 생각 한다?미국과 일본에서 이런일이 있었다면 지금처럼 했을 까 한국국민은 정이롭고 강하다는것을보여주어야된다 옥시는한국에서 철수하도록 불매운동은 계속???,2016-05-16
"@yoyoily 2003년부터 문제점이 발견됫음에도 2016년까지 불매운동하지않은 한국민들 참 미개함..(일본우익,북괴제품도그렇고..) 이러니 이떄까지 옥시,일본,북괴가 한국 우습게본거지.. 나는 애초부터 옥시제품,일본우익제품,북괴제품, 구매한적없음!",2016-05-11
@Pastecat 일본에서는 불매운동 성공해서 한 기업을 제대로 망하게 한 사례가 있었는데... 목표가 생겨도 그때만 불타올랐다가 식어버리는 냄비근성으로는 아무것도 해결되지 않는다는 걸 자기들이 모르는 것도 아니고... 정말 심각한 문제라 생각됩니다,2016-05-10
한국인들 문제중하나 과거 일본인 친구가 하는말 한국인들은 이해가 안돼 일본을 원망하며 일본제품을 선호하는지를 부정한 기업들에게 정부가 방관하면 국민이 불매운동 하면 기업들이 부정한짖을 할수없다 비판만이 있으니 https://twitter.com/histopian/status/729652986348085248 …,2016-05-10
한국에서 불매운동이 성공한 사례가 없다. 일본 유키지루시 유업은 집단 식중독 사태가 발생하자 책임자들이 모르쇠로 일관하다가 불매운동이 거세게 일어 결국 파산했다. 옥시 불매 운동 반응으로 매출이 50% 넘게 감소했다 살인기업 옥시 퇴출은 시간문제다,2016-05-05
지금 먹는 참외는 일본에서 개량된거란다. 혹자는 참외 불매운동을 할 것인가.,2016-05-04
"#옥시 #불매운동 옥시제품 지금도 사서 쓰는 인간들이 신기할 따름.유연제 제품 7% 급감이라니 이게 말이 되는일인거야.냄비근성 있는 인간들이 문제.갑질 회장님 때문에 난리치고,ㅇㅇ유업 갑질 한다고 난리치고,룟데 일본 기업 이라고 난리. 반성을 합시다.",2016-05-03
일본의 소비자들은 일본의 대표식품회사도 소비자 불매운동으로 퇴출 시켰는데 힌국에서 기업의 잘못으로 불매운동을 벌였던 남양이나 롯데는 오히려 매출이 늘었단다. 나도 한국인이지만 국민성 참 엿같은 민족이다.,2016-05-02
"""불매운동 번지는데""..마트 3사는 오히려 '옥시 판촉행사' | 다음 뉴스 http://v.media.daum.net/v/20160501065003826?f=m … - 이마트는 신세계,,홈플러스는 삼성과 영국의 테스코 합작기업,,롯데는 일본기업! 저들은 외국계라서 영국의 옥시의 편을 들겠군~!",2016-04-30
"@wodud2525 불매운동도 나름 괜찮은 방법인듯... 정무적 판단(?)으론 적극 동의 할수 없으나,일본가기 싫은것과 비슷ㅋㅋㅋ",2016-04-17
"""한국식 인사 모욕적"" 일본 맥도날드 광고에 불매운동까지 |http://v.media.daum.net/v/20160411234100198 …두손모으고 인사하는게 한국식이라고 불매운동?이게 한국식인줄은 나도 이번에 알았다. 맥도날드가 마꾸또나루도? 발음부터 똑바로해라. 진짜 어이가 없네",2016-04-12
"""한국식 인사 모욕적"" 일본 맥도날드 광고에 불매운동까지 http://ln.is/www.ytn.co.kr/_ln/nhXiD …",2016-04-12
일본기업이라는 롯데! 불매운동해야할것 같아요. https://twitter.com/sunshine5321/status/719510061060481024 …,2016-04-11
"총선 투표일에 사내 축구대회 여는 롯데 ‘세븐일레븐’, 투표는 어떻게 하라고?=일본기업으로 한국 망치는데만 혈안인 롯데 불매운동으로 국민의 분노와 힘 보여주지 못하면 우린 여전히 친일매국노들이 희롱하는 식민지에http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201604111505001&code=940100 …",2016-04-11
"@imma_lilith '일본의 광고'라고 돼 있지만 이미지의 한자를 보면 중국어입니다. 구글 이미지 검색을 돌려보면 대만 광고회사가 2007년 만든 광고이며, 불매운동까지는 아니라도 여혐 광고라고 많은 비난을 받은 사실도 알 수 있죠.",2016-03-23
https://m.facebook.com/story.php?story_fbid=497703670400425&id=364723410365119 … 서경덕교수의 위안부합의 반박광고 일본제품 사지도 쓰지도 맙시다. 친일기업 불매운동 참여하세요.,2016-03-21
"<롯데가 일본으로 돌아가지 않는다는건 한국이 아직 일본 식민지라는걸 인증하는것…야당 국개들 조차 아닥한다면 틀림없는것 아닌가!> '재산세 80원' 낸 나쁜 롯데, 시민들 불매운동(~계속 하고 있죠?) http://impeter.tistory.com/m/post/2890",2016-03-12
<우린 과거를 잊은 일본(미국)식민이네…09년 불매운동도 힘이 부족했단거고 이번에도 어쩔까 징징~성누리는 아몰랑!> ■ 나이키 '욱일기 신발' 매장서 매진 행렬 …09년에도 '욱일기'라는 이름의12번째 에어조던 출시 …이걸 어떻게 봐야할까(?),2016-03-07
영화보고나니까 일본 존나 더 싫어짐 하던 불매운동 더 열심히해야지,2016-03-01
롯데百 '개성공단 바자회'..백화점 '재고 떨이'? http://v.media.daum.net/v/20160224193535165 … 일본기업 불매운동벌려야,2016-02-24
우리나라도 일본처럼ㅈ기업죽이기가 가능해야하는데 불매운동을 소수만하고 그거마저하는사람들한테도 예민하다하니,2016-02-23
"▷국내/해외판매제품 생산국가 다르게해온 나이키, 한국공식홈페이지에 ‘일본해’표기 구글맵사용, 불매운동여론까지 형성돼있는 나이키, 한국/일본소비자 차별하는 나이키!! http://www.sisafocus.co.kr/news/articleView.html?idxno=139466 …pic.twitter.com/NPnXX1XpNk",2016-02-18
700만 소상공인도 롯데 제품 ‘불매운동’ 돌입http://www.gobalnews.com/news/articleView.html?idxno=15642 … 피할수 있는건 피해서 자발적 불매운동이 필요합니다 일본기업이면서 돈은 한국에서 벌고 교묘히 법망을 피해 세금도 거의 안내고 일본으로 빼돌리죠,2016-02-17
불매운동 > '독도'를 '다케시마'로 바꾸기 운동에 참여하는 일본 기업들 목록 ㅡ #기업 에 관한 이슈 모아보기 http://lenz.co.kr/taste/9690/timeline … 앱- http://bit.ly/1OZXBld,2016-02-09
일본야동 불매운동이 일어났닼ㅋㅋㅋㅋ 다 볼거면서..... 야동면에선 매국노자나...,2016-01-30
@whynotdw 저렇게 공표하는 순간부터 저 가게에 가서 소비하는 행위가 저 의견에 동조하게 되는 거랑 같은 효과가 나는거라는거 모름? ㅋㅋㅋㅋ 독도가 일본땅이라고 주장하는 연구에 금전 지원하는 유니클로 같은 우익기업들 불매운동 하는 거랑 마찬가지,2016-01-26
@halo1440 우리 조카는 이제 고1에 올라갑니다... 이 어린 아이도 일본제품 불매운동을 스스로 하고 있는데... 너무 그 마음이 강해 가끔 그 지점을 지적해 주기도 하지만... 제가 더 민망할 때가 많습니다... 부끄러워서...,2016-01-25
배꼽 기준으로 위는 애국자고 아래는 매국노들 시발ㅋㅋㅋㅋㅋ 그냥 일본컨텐츠 불매운동해 이쌔끼들아ㅋㅋㅋㅋ,2016-01-19
@entiont_shift 기체가 일본 국내에서만 사용할수 있도록 허가된 거라서 법적으론 심의랑 상관없이 국내 가동은 불법입니다 괜히 찔렀다가 불매운동이라도 터지면 손해니까 알고도 눈감아준거임,2016-01-18
‘일본 우익단체 지원’ 막장 기업 리스트 한국서 벌어서 다케시마 후원? 니콘·닌텐도·헬로키티·마일드세븐 등 후원 의혹 반일 감정 SNS 통해 확산…일부선 불매운동 조짐도 ‘전범기’ 티셔츠 논란 유니클로 http://m.ilyosisa.co.kr/news/articleView.html?idxno=27522 …,2016-01-17
그러고보니 '일본 우익기업 불매운동' 같은 걸로 리스트 돌아다니던 상당수가 오폭이었다는 걸 생각하면 저 문장도 상징적이다.,2016-01-17
독도를 일본 땅이라고 우기는 기업들 이것들은 반드시 망해야 할 쓰레기들입니다 불매운동에 동참하십시다 http://fb.me/4EyQZt1ki,2016-01-16
"@shfly3424 이미지에 인 진부 면 오대천 일대 9만 9천국의 다양하고 이색적인 음식면서 그룹 큰 타격을 입었다. 신동빈 회장은 대국민사과를 하며 수습에 나섰지만, 국민들 사이에선 롯데 불매운동이 일기도 했다. 장남인 신동주 전 일본 롯데홀딩스",2016-01-16
@judybyun @bscho8888 @leojinpark2299 농심 지랄을 해라.일본으로 가라.진짜 나쁜 놈들이네.불매운동 해야 하는거 아닙니까?,2016-01-09
"일본기업 롯데불매운동 끝을 봅시다! 法 ""롯데 빼빼로 상자, 日디자인 베낀 것..제품 폐기해야"" http://media.daum.net/v/20150823101606603?f=m … #도화선 소상공인연합회",2016-01-05
