트위터,날짜
"美대통령당선,트럼프공약으로살핀 현대기아차의전망!미국메이커와 미국에생산공장많이가지고있는 일본메이커들이가져갈가능성크다.현대차는30%수출,기아차는70%수출이기에 악재될것.국내에선 현기차 불매운동벌어진다면 빠이될듯! http://auto.daum.net/review/read.daum?articleid=233002&page=1&bbsid=27 …",2016-11-10
ㅋㅋㅋㅋ웃기는 기업광고네요 일본우익 지원하는 기업이라 불매운동중인걸 알고 야쿠르트 아줌마 선행을 내세워 광고를?,2016-11-09
http://m.breaknews.com/a.html?uid=454722&section=sc3#cb … 일본 다이소는 독도를 다케시마로 바꾸는 운동을 후원함. 이 기사를 보면 우리나라 다이소도 결국 구매하지 말아야 함. ㅅㅂ 아니라매 개뻥까침. 불매운동해야함,2016-11-09
"일본이 어떤덴줄 아나 ㅋㅋ 한국 가습기 사태랑 확연하게 비교하는 사례가 잇는데, 저나라에서 불매운동 일어나면 진짜 기업이 위기를 느낄 정도라 자진해서 사과글 올리고 자숙함. 근데 한국은? ->니들이 불매해봣자 ㅋㅋㅋㅋㅋ 이 마인드지",2016-11-02
<--- '정권이 이어지는 한'? 대한민국이 가짜 무당없이는 정치를 해봤던 적도 없는 대통령 밑에서 유지되기 바라나? 항일시위 및 일본제품 불매운동 벌어지기전에 조용하시길~.,2016-10-30
진짜 이번 910만은 좀 많이 미쳤고 전 일본 한국 나이츠 오시들+a가 불매운동+메일로 불만 표현해도 그다지 이상할 게 없을 것 같다,2016-10-26
일본은 그래서 한번 불매운동 하지않았나? 좀 심하긴 함..,2016-10-26
일본 원숭이 새.끼들이 쳐돌았나... 일본제품 불매운동 하자.. 아베새.끼덕에 일본 쪽바리들이 개념상실한 듯하네.. http://naver.me/FvYEZegp,2016-10-07
일본이 관련되면 애국심에 불타오르는 지사들이 너무나 많아서…… 얼마전에 ㄹㄹ웹에서 우익게임이라면서 막 불매운동 하는 것도 그렇고…… 빨간색 방사형 무늬만 보면 반사적으로 욱일기를 외치고……,2016-10-06
일본 0%의 금리 가지고 와서 3~~4% 사채 놀이하는 롯데 국민은 정신 차려야 합니다 롯데는 일본의 기업이란 걸 국민이 알아야 합니다 왜 롯데마트 롯데슈퍼.롯데렌트카.롯데캐피탈.제과.롯데리아.세븐일레븐 등등 불매운동으로 우리의 자존심을 지킵시다,2016-10-04
BBC는KQ에서제대로된피드백을올려주기전까지 #KQ_feedback_plz DVD불매운동을할것이며우리가원하는피드백은한국공식인스타는활용을안하는지왜성과도이루지못한일본활동을계속하는지태일팬미팅은왜태국과일본팬만모집했는등등이외많습니다KQ는제대로된피드백을올려주세요,2016-09-24
아니 롯데 일본 어쩌고 저쩌고 하드만 아이엠 롯시에서 개봉해줘야 되는거 아니냐!!!!! 나 지금 혼자 씨지비 불매운동하고 있는데.. 엉엉 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 딱한번만 씨지비 허락되겠니???,2016-09-20
"일본기술 흉내내고,중국부품들로 만든 저급품을""슈퍼카""라며 전세계에 팔고있죠,그런데 그게 무슨 그들을 응호하는 이유라도 되나요?전세계적으로 가격인하 또는 불매운동해야함.유럽이 일본입장이었다면 기술흉내에 대해 난리를 쳤을것임",2016-09-20
"불매운동 합시다. [ #분노]트친여러분! 더러운 보수언론<동아일보> 신문은, 한국 최초로 서울 일본대사관 앞 ""위안부 소녀상""을 일본에 요구데로 이전 하잡니다. 쓰레기친일파 신문을 불매운동 합시다. #무한RT…pic.twitter.com/7kTNXwRSI0",2016-09-16
근데 하이큐가 여혐성향이 있다해서 우리가 할수있는게 머지... 작가님한테가서 이런거 고쳐주세요 하기도 뭐하고 그렇다고 일본인들 여혐 멈춰주세요 한다고 알아들을 것도 아니잖아 불매운동도 애초에 일본이 주류인데 불매운동한다고 신경쓰려나싶다,2016-09-10
"일본 사회가 변해서 여성들의 차별에 대한 인식이 퍼진다면이야 여성향애니에 ㅡ런 배려가 반영되겠지만, 아니라면 좆도 없다. 여러분은 애니메이터들의 주 소비자가 아니다. 상품기획단계에서 고려조차 되지않는다. 불매운동은 무슨 불법자료로 시청하면서 ㅇㅅaㅇ",2016-09-10
국내에서 재미는 둘째치고 밸런스 패치 할 때마다 엿 같고 공지랑 이벤트로 수시로 유저들 엿 먹이고 과금유도 쩔고 확률 사기치고 그래서 핵과금러들이 불매운동하고 장난 아니었거든요... 와.. 일본에선 좀 열심히하나보네여....,2016-09-02
@dmswjd8897 너 일본 사랑하자나미국 대기업이 만든 스냅챗 필터도 못까고 아직도 전범기 군대에서 쓰는 일본 제국 컨텐츠 불매운동할 마음은 조또 없고 되려 흥하라고 돈더 써주는 오타쿠 주제에 왜 미국인 까면서 애국자인척 하눈데ㅜㅜ외??,2016-08-27
http://band.us/#!/band/52714182/post/430538016 …일본국기 그려진 노스페이스 지구자켓 불매운동!,2016-08-26
"테슬라, 동해는 일본땅?.. 독도는 아예 지도에서 누락 http://v.media.daum.net/v/20160822121855922 …,영업허가 내주지 말고 불매운동 캠페인에 아예 테슬라 대항마를 국책사업으로 공표하고 아예 한국땅에 발을 붙이지 못하게 하기바란다",2016-08-22
"테슬라, 동해는 일본땅?.. 독도는 아예 지도에서 누락 | 다음 뉴스 http://v.media.daum.net/v/20160822121855922?f=m … 그럼 바로 불매운동 들어가야지~",2016-08-22
"이런 미친 기업이 있나?, 글쎄!, 불매운동 해야...[단독] 일본 여행상품 홍보에 ‘야스쿠니 신사’ 사진 사용한 티몬 http://www.vop.co.kr/A00001059640.html …",2016-08-18
"우리 나라에서 친일기업 불매운동이 이처럼 대규모로 일어났던적도 없었는데, 일본 좋아요도 아니고 도쿄라는 글씨에 점범기 문양인걸 2분만에 파악하고 지우고도 한번도 써 본적없는 형식이 있다는 사과문을 쓴 파니는 하차를 해야만 했다.",2016-08-18
"625,그전날에 625전범기인 인공기,중공기,소련기 사용한 애들도 저런식으로 그 전범기 칼로 짤라라고 협박해봐라~ㅋㅋ 미국이 일본에 욱일기 사용을 허락한것도 협박해봐라~ 이것들아 625전범국, 일본우익기업 불매운동이나 제대로해라~",2016-08-18
"625전범기 인공기,중공기,소련기 쓰는 애들도 무뇌아 무개념 애들이라고 해라~ 뭐가 친일국정교과서라고 헛소리짖껄이노?증거있냐? 티파니가 국정교과서배웟냐? 일본우익상품 불매운동이나 제대로해!ㅋ http://cafe.naver.com/jimsg/1006",2016-08-16
"당장 판매중단 요구에 불매운동에... 만약 한국이나 일본, 중국같은 동양권 국가에서 발매된거라면 극단주의자들은 욱일기 테러하면서... 크~ 시나리오 완벽전개~",2016-08-16
일본이나 프랑스 혹은 한국에 대한 불매운동에 비해 중국인들의 미국제품에 대한 불매운동은 없다는 트윗을 했다가 지웠다. 검색을 해보니 아이폰을 부수고 햄버거를 불매하는 운동이 있었다. 역시 없다는 주장은 있다는 주장보다는 성립하기 어려운 주장이다.,2016-08-14
"중국사법당국,남중국해 영해침범에 사법권행사 공포.미제와 필리핀제품 불매운동과 일본 연예인배척운동도!평화굴기 대국이라면 국제법준수해야.관련국들간 불매운동확산되면 자유무역 막혀길 제발등 찍는패착될것http://m.news.naver.com/hotissue/read.nhn?sid1=104&cid=1046206&iid=1610004&oid=001&aid=0008581787 …",2016-08-02
그 전에도 불합리한 이벤트 때문에 일본쪽에서 불매운동 있었는디... 안산블루스타즈도 꽤 자와자와 했다,2016-07-31
"이젠 될대로 되라는 식입니다. 당신들 만화 안 본다. 한국 웹툰 안 본다. 미국 코믹스와 일본 만화라는 훌륭한 대체제가 넘쳐나는 이 시장에서, 당신들 만화에 걸러진다고 우린 피해 보는 게 없다. 따라서 당신들 불매운동 하겠다.",2016-07-24
"일본문화를 좋아하시는 것 같은데, 일본에서 국가의 규제가 얼마나 있다고 보시나요? 다 민간 규제입니다. 너무 심하다고 보면, 형사고발이 들어가죠. 개돼지 취급하는 작가들은 불매운동해서 퇴출시키면 되는 겁니다.",2016-07-24
"한국산불매운동? 과거일본상품불매운동한더더니 더잘사드라. 자국짝퉁중국제품이라면 저히들이더치를떨며 한국제품,일본제품,외제품만찾는냄새나는저 지나인(챠이니즈)들.한국제품않사고견디나보자. https://twitter.com/songyss/status/756035320051662848 …",2016-07-22
"송영선 '11억 중국 거지떼' 발언으로 중국 SNS가 한국산 불매운동 외쳤다는데, 사드 위협 향한 중국 반발을 내정간섭으로 표현하는 것도 부적절하지만 설령 내정간섭일지라도 송영선 태도의 문제점은 중국엔 적대시, 일본의 간섭과 日 자위대에 긍정한다는점",2016-07-21
중국인들이 몇년전 동지나해 사태엔 일본 기업 부시더니 이번 남지나해 재판 일로 미국기업 불매운동. 그후 일본의 중국투자가 반토막 났다는데 미국은? 이제 한국도 불매운동 당하겠군요. 사드때문에. 그럼 누가 손해일까요? 신냉전시대라면 중국 손해죠.,2016-07-21
일본 푸드파이터가 바나나 먹은 영상에 중국사람들이 몰려가 한 짓거리 기사를 보니.... 참 이것들은 지랄도 병이지 싶다-_-; KFC매장 가서도 불매운동 했다는데; 그 기업이 비윤리적인 행위를 한 것도 아니고 그냥 미국기업이라; ㅉㅉ,2016-07-20
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-19
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-19
아이고오 'ㅁ` 넥슨 문어발식에 대항할 수가 없다 이건마치 일본 미츠비시 불매운동같은 느낌,2016-07-19
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-19
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-19
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-19
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-19
남중국해 판결후 中국수주의 확산…KFC 불매운동·`일본판 쯔위`[종합] http://news.zum.com/sns/article?id=0032016071831910118&cm=twitter&tm=1468884749933 …,2016-07-18
"남중국해 판결후 中국수주의 확산…KFC 불매운동·`일본판 쯔위`[종합] http://news.zum.com/sns/article?id=0032016071831910118&cm=twitter&tm=1468866360204 … 나이키 신발에 KFC까지 미국산 불매시위…필리핀산 망고도 거부 中 네티즌, 톈안먼 사태에 3년전 간접 비판했던 日배우에 뭇매를 맞고 있다",2016-07-18
물론 일본은 과거 일제의 전쟁범죄 행위를 인정하고 진심으로 사과해야합니다. 그러기위해선 무조건적인 반일을 외칠게아니라 일본우익상품(+닌텐도의 포켓몬고) 불매운동 실천을 해야죠!,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-18
힐튼 불매운동하자. 일본가서 자위나 하세요.,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'http://v.media.daum.net/v/20160718164537135?f=m … 해당 기업들이 불량품을 팔았거나 법을 어긴것도 아닌데.. 애플 제품도 이렇게 깔수있나 묻고싶다. 세상을 중국인만 사는거 아니다 적당히 해라.,2016-07-18
포켓몬고는 닌텐도라는 일본우익기업 게임입니다!.. 일본우익기업 불매운동 합시다!,2016-07-18
남중국해 판결후 中국수주의 확산…KFC 불매운동·`일본판 쯔위`[종합] http://news.zum.com/articles/31910118?comment=all&cm=twitter&tm=1468842032687 …,2016-07-18
포켓몬고는 닌텐도라는 일본우익기업 게임입니다!.. 일본우익기업 불매운동 합시다! 친일매국방송MBC OUT!,2016-07-18
포켓몬고는 닌텐도라는 일본우익기업 게임입니다!.. 일본우익기업 불매운동 합시다!,2016-07-18
포켓몬고는 닌텐도라는 일본우익기업 게임입니다!.. 일본우익기업 불매운동 합시다!,2016-07-18
"일본극우,일제잔재놈들이 과거 일제놈들이 명성황우를 시해한것처럼 박근혜를 시해하려고 하다니! 일본우익상품 불매운동합시다!",2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-18
그동안중국이많이컸지혼날때도되었다//남중국해 판결후 中국수주의 확산…KFC 불매운동·`일본판 쯔위`[종합] http://news.zum.com/sns/article?id=0032016071831910118&cm=twitter&tm=1468836540125 …,2016-07-18
적반하장도유분수지누가남의땅을먹고있는가?//남중국해 판결후 中국수주의 확산…KFC 불매운동·`일본판 쯔위`[종합] http://news.zum.com/sns/article?id=0032016071831910118&cm=twitter&tm=1468836503889 …,2016-07-18
남중국해 판결후 中국수주의 확산…KFC 불매운동·`일본판 쯔위`[종합] http://news.zum.com/sns/article?id=0032016071831910118&cm=twitter&tm=1468835640881 …,2016-07-18
남중국해 판결후 中국수주의 확산…KFC 불매운동·`일본판 쯔위`[종합] http://news.zum.com/sns/article?id=0032016071831910118&cm=twitter&tm=1468835439322 …,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·＇일본판 쯔위＇(종합) http://v.media.daum.net/v/20160718164537135 …,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-18
#윙뉴스 남중국해 판결후 中국수주의 확산..KFC 불매운동·＇일본판 쯔위＇(종합) > 윙뉴스 2591 http://1go.co.kr/bbs/board.php?bo_table=wingnews&wr_id=10477 … @1gokr 님이 공유,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …pic.twitter.com/YEPksulOPG,2016-07-18
남중국해 판결후 中국수주의 확산…KFC 불매운동·'일본판 쯔위'(종합) : 네이버 뉴스 (출처 : 연합뉴스 | 네이버 뉴스) http://naver.me/F01lImbZ,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·＇일본판 쯔위＇(종합) http://v.media.daum.net/v/20160718164537135 … 중국의 이러한 행위를 보고도 사드로 인한 보복조치가 없을 거라던 김장수 주중대한민국 대사는 생각이 있는 놈이여 아님 골빈 인간이여!!!,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) | 다음 뉴스 http://v.media.daum.net/v/20160718164537135?f=m …,2016-07-18
남중국해 판결후 中국수주의 확산..KFC 불매운동·'일본판 쯔위'(종합) http://v.media.daum.net/v/20160718164537135 … 사드배치되면 한국개털되는건 불보듯하네,2016-07-18
"SK Her: “한국 소비자가 봉이냐”…금소연, 비자카드 수수료 인상 철회 주장 - “비자카드, 일본ㆍ중국 제외하고 한국만 10% 인상”연간 수수료 1000억 이상…“인상 강행시 불매운동 불사”［헤럴... http://ow.ly/J9rk502vL3W",2016-07-18
두 손을 모으고 배꼽인사하는 게 한국식 인사인 거 오늘 처음 알았다. 일본에서 그것 때문에 '일부 우익'들이 맥도널드 불매운동을 펼쳤다는 거 보고.; 생각해보면 일본 가게에서도 예전부터 그런 인사 해 왔는데 말이지; 북오프에서도 우리점장도 그랬는 데;,2016-07-15
"남중국해(남사군도, 서사군도 등)에 대한 중국의 영유권을 지지하는 나라는 현대 러시아, 파키스탄, 인도를 포함한 66개국이며 이에 반하는 행동을 하는 한국, 일본, 미국, 필리핀에 대한 경제적 제재및 불매운동을 해야 한다고 SNS에 글들이 올라오네요",2016-07-15
장이씽이 자기나라편 든거라고? 그럼 우익 왜 불매운동해? 왜 우익연예인들 싫어해? 걔네도 걔네나라 편든건데? 독도는 일본땅이라는 일본인도 다 안고가고 중국인도 다 안고가 병신댕청한년들아,2016-07-12
이번 이벤 일본에선 불매운동 중이었구나.. 보니까 이번에 회사 타격 클거같던데 포보컷 원래대로 돌렸으면ㅠㅠ,2016-07-11
앙스타 일본쪽에선 불매운동하느라 랭킹 안달린다며...,2016-07-10
"국산간장 중 그나마 일본간장 수준에 근접한건 몽고생간장 정도였는데, 이건 불매운동그룹에 포함되었고 샘표니, 청정원이니.. 이건 질이 한참 떨어지는데 가격이 일본간장 두 배..-_-;;",2016-06-28
애플 미쳤나. 여러분 애플이 독도 일본섬으로 표기했답니다 ㅋㅋ 사지마요 절대. 불매운동해야해요. 갤럭시나 엘지나 팬텍 씁시다 #애플 #apple #아이폰 #아이패드pic.twitter.com/dCua35PBmp,2016-06-25
