트위터,날짜
"@YouTube 동영상 http://youtu.be/uinssLChyhQ?a 【일본반응】중국내 일본 불매효과X, 한국산 불매운동 효과O,",2017-11-05
일본이 보통국가를 선언하며 군사대국화하는 순간 사드 문제가 해결된다. 우리는 전범국가인 일본의 이런 행위를 강력 비판하며 중국인들과 함께 일제 불매운동 일본여행 보이콧 등을 진행해 일본 경제를 파탄시킬 수 있다https://goo.gl/FwL5bX,2017-10-23
"옆나라 : 일본, 중국, 러시아 정치적 측면에서 바라본 관계) 러시아 - 요즘 좀 누그러짐 중국 - 불매운동 때문에 죽을맛 일본 - 역사문제, 영토문제 등 치고박고 퉁탕퉝팅쿵쾅퇑퉁",2017-10-22
"'후쿠시마 수산물' 뚫리나…한국, WTO 패소 유력 http://www.newsis.com/view?id=NISX20171017_0000119846 … 일본산 불매운동으로 확산 시켜야한다",2017-10-17
Retweeted 머루다 ( @jiojoung): @oonote 좃선 불매운동 좃선 폐간이 국민이 살길입니다 유명 배우까지 성뇌물로 잡아먹은 좃선 일본으로 가라,2017-10-16
좃선 불매운동 좃선 폐간이 국민이 살길입니다 유명 배우까지 성뇌물로 잡아먹은 좃선 일본으로 가라,2017-10-16
"미국, 일본 보다 수십만원 비싼 애플 아이폰X,8! 아이폰X 64기가 143만 원 256기가 160만 원????? 한국국민이 봉인가요? 가격 현실화 될때까지 불매운동 어떠신가요?",2017-10-15
ㅠㅠㅠㅠ맞아요.. 그래ㅓ 일본분들은 봌스 다른 이유랑 더불어서 불매운동한다고 들었어요,2017-10-11
솔직히 군함도는 불매운동할 생각이 전혀 없었는데 무엇때문인지 알고싶어서 봤고 영화를 보면서 답답함을 느꼈습니다 일부의 의견처럼 액션영화로는 볼만하지만 가해자 일본이 빠진 조선인끼리의 싸움과 독립군 지도자를 변절자로 굳이 취급해야 하는지 의문이었음,2017-09-26
"노키즈존 목록을 공유하는것에 대해 불만을 표현하는건 좀 웃긴데, 예를들어 일본에서 노조센징존 같은거 만들면... 자연스럽게 한국에서는 그런곳 목록 만들어서 욕하고 불매하지 않겠음? 불매운동까지는 아니더라도 최소한 알고 피하는게 서로 이득이잖아.",2017-09-26
"수입해라 ! 불매운동 벌려서 수입업체 망하게 만들면 누가 수입하리! 한국 가정주부는 깐깐하기로 유명하니 일본산 수입해도 안살게 뻔하니 안심이고 문제는 대중음식점인데 일본산 쓰는 음식점 이용하지 말기, 일본산 재료로 쓰는 생산품 안사기 운동 벌입시다",2017-09-24
駐美중국대사 ˝한국·일본·대만 핵무장 절대 안돼˝ http://chosun.com/tw/?id=2017091800236 … 짱깨들 물러가라. 내 주변 중국어만 들려도 침 뱉어줄 꺼야. 더러운 대륙인들...잘난 너네 나라가서 돈 벌어라. 중국제품 불매운동 시작합니다. 우리도 실력행사,2017-09-18
대책없는 정부 정책에 국론만 분열 시키고 있다 원전폐쇠 정책으로 데모 극력화ㆍ사드 배치 고려 한다고 유화적인 말로 중국과 성주 주민들 더욱세진 데모 불매운동 ㆍ일본과 위안부 재협상 일본과 미국에... http://naver.me/xxPKASzS,2017-09-09
,2017-08-28
사드 옹호 감독 신카이 마코토 불매운동에 참여해주세요. 그의 최신작에서는 일본에 떨어지는 북한 탄도탄을 주일미군 이토모리 기지에서 발사된 사드가 요격시키는 장면이 나와 미 제국주의를 미화하고 있습니다. pic.twitter.com/tOU55ZgSgn,2017-08-27
리콜당한 혼다차 재고를 한국에다 풀어 파는 일본의 행태를 전세계에 고발하고 불매운동이라도 전세계에 벌여야 한다. 국민의 안전을 위해서라면.,2017-08-27
일본전범기업 물건은 물론 일제물건은 절대로 팔아주지 맙시다. 우리나라에 와서 돈벌려는 일본 기업들 모두 쫄딱 망하도록 온 국민이 똘똘뭉쳐 일제물건 불매운동을 벌입시다. http://fb.me/8VuSBrcg5,2017-08-26
근데 제가 일본생리대 서치해보니까 대부분 호평이긴 한데 정작 일본에서는 방사는 어쩌구 때문에 불매운동까지 있었대요...ㅜㅜ 뭘 믿어야할지 모르겠네요.. 일단 제일 끌리는건 생리컵인데 잘 몰라서..,2017-08-20
"임산부, 20세 이하, 심약자는 클릭... https://story.kakao.com/gwony/IBD9i3U0CFA … 일본제품 불매운동 실시 해야 합니다 또한 이땅에 뿌리깊게 자리잡고 있는 친일 후손들이 더 이상 정치 경제 모든분야 에서 발 붙이지 못하도록 해야 합니다.",2017-08-19
하루에한번일본놈들에게욕하자짐승만도못한새끼들이라고일본제품불매운동하자국교단절하자,2017-08-16
언제까지 일본의 호구로 있을것인가? 정부의 규제가 있어야 한다 그리고 이곳가서 물건 사는것 이제라도 멈추자 제발!! 역사청산 이전에 의식부터 청산하자 일본기업 불매운동 제안한다,2017-08-16
삼성가족과정경유착비난받아야하겟지만삼성그룹 제품불매운동은반대한다세게적기업 삼성망하면 좋아하는사람은중국놈과 일본놈뿐이다 그리고 우리나라사람삼성과연관없는사람잇을까 하다못해 생명보험마저 그리고 모두든사람이나쁜기업욕하면서 삼성에못들어가서 환장할까,2017-08-11
일본극우 단체 지원하는 회사 불매운동보다 삼성 불매운동이 더 시급한 이유죠. 이러니 삼성공화국이라 불리는거죠. 대한민국 모든 길은 삼성을 통하니... 이번정부는 숙제가 정말 많네요.,2017-08-09
롯데 불매운동해서 퇴출시켜야함...한국에서 돈벌어 이득금은 일본주주에게 다 배당하고...개새끼들...중국에서 망해버려라!,2017-08-07
마자요 일본회사라 돈 끌어가요 유니클로랑 ㅠ 불매운동하는데 뭥미???,2017-08-05
이건쓰레기같은생각일수도있지만 #iKONIC_화났다 일본팬분들이일본콘불매운동햏으명좋겠다더욱왕성한한국활동바란다고,2017-07-31
미쳤다. 엄마가 군함도 불매운동하는 사람도 있더라? 이 말에 응 내가 하고 있어라고 했더니 되게 놀라시더라. 그래서 뭔가 싶어 들어보니 신문기사에 마치 일본 지지하는 사람들이 행패? 부리는 것처럼 쓰인 줄 알았다고,2017-07-29
