트위터,날짜
일본제품 불매운동하면 일본이 손해지 우리나라 제품 일본에 없어서 손해 볼것도 없다.,2017-12-28
"카지노에서 200만엔으로 늘리고 일본내 라인 불매운동을 시작함. 우익의 사회운동으로 인정받아 국회의원으로 당선되고 북조선과 전쟁을 시작…납치된 일본인 구조와 김정은과 협상으로 북조선을 일본국토로 편입시킴. (한국, 일본을 질투함)",2017-12-26
롯데는 매국기업이야. 국내임금은 이익대비 형편없지. 돈벌어 일본본사로 가지. 상품도 일본기준보다 후지지. 불매운동 안하는게 신기함. 저번달에 빼빼로는 엄청 팔았지 아마.,2017-12-20
그 작품이 진짜 일본식 제국주의를 표방하고 있으면 작품 욕 실컷 해주고 안보거나 좀 더 짜증나면 불매운동 하면 되는거지 작품을 접했던 사람들을 죄인으로 만드는 건 뭐냐? 작품 본 사람들이 모두 식근론이라도 외치게 됨? 일본 제국주의를 찬양하면서 한국을 다시 일본에 갖다 바치자고 하게 됨?,2017-12-02
브이앱 실트는 오바.. 탄이들도 보는 틔터인데 불매운동 하잔거도 하는것도 아니고ㄷ 솔직히 나도 보자마자 놀람 막콘가는 아미중에 좀 화나는 사람도 있겠다 싶다가 생각해보니 일본에서도 라이브뷰잉하기도 하고.. 애들은 아미가 좋아할거라 생각했을거 같은데.. pic.twitter.com/teYLVv54PM,2017-11-28
아 가끔보면 캐논이나 니콘보고 일본 전범기업이니 뭐니 하면서 무슨일 있을때마다 불매운동을 하니 하는데 단순히 전범기업으로만 따지면 나치독일시절 전범기업 중 짜이즈나 라이카도 나치전범기업임 살 카메라가 없다.. 삼성 카메라사업부를 살..,2017-11-24
"중국은 치열한 아사히맥주 불매운동, 한국은 조용 日극우기업 아사히맥주, ""한국간판 '진로' 사겠다"" (2005.03.30) http://www.pressian.com/news/article.html?no=29825&ref=twit … 아사히맥주 일본의 후소샤 역사왜곡교과서의 적극적 물질 후원자이자, 야스쿠니 신사 참배 등을 적극 주장하고 있는 일본의 대표적 극우기업",2017-11-21
주사파 놈들 하기 좋은 말 로 친일파 개가 웃겠다 박정히 대통령은 일본과 단교도 서슴치 않고 한때 일본 재품 불매운동도 하고 태워버렸다...그시절 때는 어린 시절 어쩔수 없는 상황 그걸 빨갱이 놈들이 ... http://naver.me/5HnzF9MQ,2017-11-13
주사파 놈들 하기 좋은 말 로 친일파 개가 웃겠다 박정히 대통령은 일본과 단겨도 서슴치 않고 한때 일본 재품 불매운동도 하고 태워버렸다...그시절 때는 어린 시절 어쩔수 없는 상황 그걸 빨갱이 놈들이 ... http://naver.me/5HnzF9MQ,2017-11-13
"꾸준하게 1인 불매운동 벌이고 있는 기업이 있는데 남양과 유니클로. 남양이야 다들 잘 아실테고, 유니클로는 일본 우익들의 활동비를 지원하는 기업이라.",2017-11-06
