트위터,날짜
@koreamokmo 우리가 할일은 일본제품 불매운동!,2015-12-30
@Jaemyung_Lee @6ad2e62b97104ec 이제 현정부의 무능를 더이상 보고 있으선 안되겠습니다. 정부가 협상을 한게아니라 일본을 도와주는 행위를 하고 있습니다. 이제 국민이 나서서 일본제품 불매운동과 일본 여행 안가기 운동을 해야합니다.,2015-12-29
몽고간장 하나 망하게 해서 선례를 만들었으면 좋겠다. 일본에선 우유회사가 불매운동으로 문 닫았었지.,2015-12-28
RT @tkadnjs4770: 일본기업 롯데 이익금 거의 다 일본으로 건너가 대한민국 소비는 일본을 살찌게하고 있다. 《롯데불매운동의 이유》 http://ln.is/m.incheonin.com/news/Wq5g8 … #도화선 #소상공인연합회,2015-12-25
동해를 일본해로 표기한d 이케아 IKEA의 최후: 동해인데 왜 일본해라고 표기함?어쩌라고구매하지맙시다!불매운동!오픈일???그리고 1년뒤 일본이 그토록 동해를 일본해로 바꾸려 전세계 상대로 로비활동을... http://bit.ly/1m0Yopt,2015-12-20
동해를 일본해로 표기한d 이케아 IKEA의 최후: 동해인데 왜 일본해라고 표기함?어쩌라고구매하지맙시다!불매운동!오픈일???그리고 1년뒤 일본이 그토록 동해를 일본해로 바꾸려 전세계 상대로 로비활동을... http://bit.ly/1m0Yopt,2015-12-20
동해를 일본해로 표기한d 이케아 IKEA의 최후: 동해인데 왜 일본해라고 표기함?어쩌라고구매하지맙시다!불매운동!오픈일???그리고 1년뒤 일본이 그토록 동해를 일본해로 바꾸려 전세계 상대로 로비활동을... http://bit.ly/1m0Yopt,2015-12-20
동해를 일본해로 표기한d 이케아 IKEA의 최후: 동해인데 왜 일본해라고 표기함?어쩌라고구매하지맙시다!불매운동!오픈일???그리고 1년뒤 일본이 그토록 동해를 일본해로 바꾸려 전세계 상대로 로비활동을... http://bit.ly/1m0Yopt,2015-12-20
동해를 일본해로 표기한d 이케아 IKEA의 최후: 동해인데 왜 일본해라고 표기함?어쩌라고구매하지맙시다!불매운동!오픈일???그리고 1년뒤 일본이 그토록 동해를 일본해로 바꾸려 전세계 상대로 로비활동을... http://bit.ly/1m0Yopt,2015-12-20
일본우익엔 발끈 하며 우익을 지원하는 일본 기업 제품 불매 하자고 하면서 어떤 친일발언 서슴치 않는 여자의 가방만드는 한국 회사는 아직도 잘돌아가고 불매운동이 없다는,2015-12-19
"조용히, 이심전심.. 그러나 집요하게 거국적으로 한국산 불매운동하는 일본.. 요코하마 한국총영사관에 인분 추정물질 투척…혐한단체 명의.. 이제는 일본 식으로 대응해야 하지 않나. . http://www.upsun.net/?act=board&bbs_code=info&bbs_mode=view&bbs_seq=66745 …",2015-12-12
"최소 지분으로 롯데그룹의 총수가 되어있는 신동빈.우리 국민은 다 그들의 일개미 인가?이대로 무늬만 한국인, 전범의 후손과 결혼한 현롯데 회장의 패륜,그리고 아베와의 관계 .우리는 불매운동으로 한국인의 매운맛을 보여 주셔야 합니다.롯데는 일본기업.",2015-12-01
일본이든 한국이든 장사만 하면 되는 롯데인데. 한국 소비자는 불매운동 하자구요. 알아서 철수를 하든 뭘 하든. https://twitter.com/hhi_plus/status/671690479872770050 …,2015-12-01
@Blanche_Flow 애니화까지 됐는데 한국에선 불매운동 비슷한게 일어나서 별로 안 팔리고 (운동 안해도 걍 재미없어서 안 보긴 하는데) 아마 일본 현지에서 불티나게 팔린 걸로 압니다.,2015-11-30
일본기업 롯데 이익금 거의 다 일본으로 건너가 대한민국 소비는 일본을 살찌게하고 있다. 《롯데불매운동의 이유》 http://ln.is/m.incheonin.com/news/Wq5g8 … #도화선 #소상공인연합회,2015-11-19
RT @tkadnjs4770: 일본기업 롯데 이익금 거의 다 일본으로 건너가 대한민국 소비는 일본을 살찌게하고 있다. 《롯데불매운동의 이유》 http://ln.is/m.incheonin.com/news/Wq5g8 … #도화선 #소상공인연합회,2015-11-19
"""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 소상공인연합회 pic.twitter.com/XrGK02poEL /국민을 호갱으로 아는 기업 그 기업 뒤에서 국민을 호갱으로 아는정부",2015-11-19
"""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 소상공인연합회pic.twitter.com/o6N1ycZwDj",2015-11-19
"@tkadnjs4770 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 소상공인연합회pic.twitter.com/o6N1ycZwDj",2015-11-19
"일본기업 롯데 불매운동 일본기업 다운 생각이무니다! '알바'로 생계 잇는 청년, 3000만원 뿌리친 사연 http://media.daum.net/v/20150928113405011?f=m … #도화선 #소상공인연합회pic.twitter.com/iDtZHFeoC3",2015-11-19
"@tkadnjs4770 일본기업 롯데 불매운동 일본기업 다운 생각이무니다! '알바'로 생계 잇는 청년, 3000만원 뿌리친 사연 http://media.daum.net/v/20150928113405011?f=m … #도화선 #소상공인연합회pic.twitter.com/iDtZHFeoC3",2015-11-19
"""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 소상공인연합회 pic.twitter.com/XrGK02poEL /국민을 호갱으로 아는 기업",2015-11-19
"@tkadnjs4770 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 소상공인연합회 pic.twitter.com/XrGK02poEL /국민을 호갱으로 아는 기업",2015-11-19
