트위터,날짜
#이바돔감자탕_친일 #이바돔감자탕_한국이미지훼손 #이바돔감자탕_불매운동 https://twitter.com/I_m_Gooooood/status/1078459470361968640/photo/1pic.twitter.com/LYAkWHdx1V 내가 죽어도 감자탕은 이바돔으로 은 간다 미쳤나봐 한국음식 광고를 일본 게이샤로?? ㅁㅊ새끼들 왜 감자탕이 일본 음식이라고하지 어이가 없네,2018-12-29
세계가 보호해서 키워 놧더니 일본놈들이 싹 잡아 간다? 일본여행 가는 사람들아! 방사능 먹고 고래고기 먹으러 가나요? 일본상품 불매운동해야. https://twitter.com/usminjooforum/status/1077984020636553216 …,2018-12-26
세계가 보호해서 키워 놧더니 일본놈들이 싹 잡아 간다? 일본여행 가는 사람들아! 방사능 먹고 고래고기 먹으러 가나요? 일본상품 불매운동해야. https://twitter.com/binmudum/status/1077972828698406912 …,2018-12-26
세계가 보호해서 키워 놧더니 일본놈들이 싹 잡아 간다? 일본여행 가는 사람들아! 방사능 먹고 고래고기 먹으러 가나요? 일본상품 불매운동해야. https://twitter.com/2badasok/status/1078049396565016576 …,2018-12-26
와 진짜 이건 아니지않니?플디야?플레디스 한성수 이거 꼭 봐 시즌그리팅 불매운동하고 시위하고 하니까 일본스케쥴 돌리나본데 요따구로 일정잡아서 애들 한명이라도 쓰러져봐 진짜;; 번역기를 돌리든 뭘 하든 해외팬분들이 니들이 하는짓을 정확히 알았을때도 니가 지금처럼 하나 보자 @pledisnewspic.twitter.com/fXoxgJEpdA,2018-12-26
자기는 혐한 아니고 니네가 해시태그 하면서 깽판칠수있는건 니네 나라 한정이고 일본에와서 불매운동하거나 항의하지 말랜다 ㅋㅋㅋ,2018-12-24
일본에서 한국교포가 하던 택시 회사가 있었는데 자국 회사가 아니라고 일본 사람들이 불매운동 했지만 그 회사의 서비스가 정말 특별하고 친절해서 사람들은 그 회사를 애용하였다고 그런 얘기가 있었는데... 택시를 더 안전하게 탈수있게 서비스 개선 좀 해주세요 그럼 누가 카풀따윌해요.....,2018-12-21
시그불매하면 아티스트에게 피해갈까봐 고민하시는분들 그거 진짜 쓸데없는 고민입니다 시그산다고해서 멤들에게 수익가는거 별로없을뿐더러 멤들 생각보다 훨씬더 돈 많이벌어요(일본활동만으로 1인당 약 1억) 그러니 그런걱정말고 불매운동에 참여해주세요 #플레디스_계정통합_즉시중단,2018-12-20
불매운동이라해도..나 힢마 최종결승이든 배틀뜰때 우리나라에서 씨디 60장씩쓰고 그런사람 못본것같은데..요코하마신줔 오만몇천장까지 오른거 솔직히 95프로가 일본팬덤덕아닐까ㅜ씨디대량으로 사기도 쉽고 일반굿즈도 해외팬들이 많이 사고있기는 하지만 국내의 여건을 따라잡을수는없다고생각함,2018-12-20
근데 일본에는 페도가ㅋㅋ하나의 성향으로 >인정< 받고있어서 모모세 발언이 뭔 문제냐는 반응이 절대다수고 오히려 서양팬층이 더 가세해주고 계시다는데 해외팬층이랑 일본국내팬층 의견 갈려서 불매운동 안되면 변화가 있을리도無,2018-12-20
징용피해 배상을 안하는 일본 기업 리스트를 만들어서 불매운동하고 수입선 다변화정책을 써서 강력한 불이익이 가해지도록 해야 될것이다 수입업체로 하여금 일본 기업제품 수입을 못하도록 유도하고 어길경우 강력한 세무조사를 통해서 압박을 가해야 될것이다 징용피해 배상은 받아내야 된다,2018-12-16
"무섭.. 캐나다구스가 뭐길래... 거의 중국 본토인인 것 같은데 예전엔 일본에서 뜬 브랜드가 몇 년 후 한국에서 유행했다면 요즘은 한국→중국이 더 뚜렷. 리모와, 몽클레르, 젠틀몬스터처럼 젊고 활동적인 브랜드 위주로... 캐구는 화웨이 때문에 중국 내 불매운동 벌어졌다는데 여기선 해당 없는 듯. pic.twitter.com/IrBS2bTaxH",2018-12-12
거래처 일본 여직원에게 불매운동 전도함 ㄷㄷㄷㄷ http://www.ddanzi.com/free/541133963 #ddanzi #딴지,2018-12-10
중국산 화웨이 5G 통신장비 구매하는 똥고집 LGU+는 자칫 불매운동으로 번질 수 있다_ 일본 정부가 중국의 정보통신기업 화웨이(華?)와 ZTE(中興·중싱) 제품을 정부기관의 정보통신기기에 대한 사용을 배제하는 방침을 사실상 확정한데 대해 중국 정부가 강력 비난했다.https://news.v.daum.net/v/20181210100818046?rcmd=rn&f=m …,2018-12-10
어제 밤 내 생일 파티 조진 놈들 일본 천황 생일파티였구나 천하에 몹쓸 놈들 미리 고지라도 하든가 하이야트 불매운동!!! 개새끼들.............. !!! https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&oid=421&aid=0003728420&sid1=001&lfrom=facebook …,2018-12-08
일본제품 2011년 이후로 열심히 불매중입니다. 더욱 더 가열차게 불매운동 하렵니다!,2018-12-07
저도 혼자 조용히 일본상품 불매운동 중이요,2018-12-06
동포들아.... 딱 3년만 일본여행 가지 말자. 일본상품 사지 말자. 대일 관광수지 적자가 너무 커. 3년 후면 일본 1인당 GDP 따라잡을 거 같애. 그 때 가자. 아주 조용히 일본상품 불매운동.... <애국보수 문파 올림>,2018-12-06
'후쿠시마' 표시 한자로..홈플러스 '후쿠시마 라면' 논란 | 다음 뉴스 https://news.v.daum.net/v/20181204205103466?f=m … 홈플러스 미친거 아냐. 이런 개또라이 색기들이 있나. 홈플러스 불매운동을 벌여야겠구만... 혹시 홈플러스가 일본업체 아닌가요?,2018-12-04
"아니 한국이면 안가고 불매운동처럼 응모 안할껀데 일본에서하면 소용없잖아,,,",2018-12-04
뉴이스트 일본 팬들이 불매운동 해주면 좋으련만,2018-12-03
일본러브들이 불매운동을 하진 않겠지?,2018-12-03
미쓰비시는 일본 3대 재벌로 세계최대 기업그룹이다. 한국의 재벌제도는 일본의 영향이다. 대법원이 미쓰비시에 배상금 지불판결 내렸지만 받아낼 가능성은 희박하다. 이런 환경에서 가장 유효한 방법은 국민들의 자발적인 자동차 등 미쓰비시 제품 불매운동이다. 조용히 이심전심으로 진행돼야 한다. https://twitter.com/newsvop/status/1068745459231932416 …,2018-12-01
"어이없던건 일본이 중국불매운동 비웃는투로 내보낸거,,,니들도 아시안이란다",2018-11-25
으음 그렇긴그렇지 ㅋㅋ 한국이 불매운동했으면 애초에 피드백도안나왔겠지 이번사과문에서도 중국이랑 일본한테만 사과한것만보면 답나옴,2018-11-25
"[서울의소리] 일본 여야 정치인들, 도쿄 한복판서 독도는 일본 땅 망언 집회 http://m.amn.kr/32956 망언을 넘어 망령들이 났구나.. 독도-다케시마에 후원하는 유니클로,다이소,씨유편의점,니콘카메라...등 전범기업과 다를 바 없는데 수많은 가맹점주들도 먹고 살아야 하지만, 불매운동 하고 싶다",2018-11-22
"불매운동도 좋지만,,, 이미 일본계 및 친일 편의점들이 골목 곳곳에 깔림. 옛날 중국의 산동반도 지역에선가의 상황과 유사한 남한반도 경제침략이 개시 되었다 봐야 함. https://twitter.com/s17221/status/1065106927347105793 …",2018-11-21
