"구분","전체버스정류장","유개버스정류장"
"서울","5,712","2835"
"부산","3,277","1857"
"대구","2,870","1206"
"인천","5,005","2234"
"광주","2,222","1219"
"대전","2,218","1565"
"울산","2,150","1166"
"세종","1,023","473"
"경기","30,108","14310"
"강원","8,290","4864"
"충북","6,039","3767"
"충남","12,402","6898"
"전북","8,244","5864"
"전남","10,812","7740"
"경북","12,407","7277"
"경남","12,273","6533"
"제주","2,765","1660"
