시군구,용도지역,계약면적(㎡),거래금액(만원)
울산광역시 동구 ,제2종일반주거지역,536.0,95335
울산광역시 동구 ,제2종일반주거지역,5453.0,969894
울산광역시 동구 ,제2종일반주거지역,66.0,13300
울산광역시 동구 ,제2종일반주거지역,9.0,2100
울산광역시 동구 ,제2종일반주거지역,13.39,980
울산광역시 동구 ,제2종일반주거지역,11.35,200
울산광역시 동구 ,제2종일반주거지역,1.0,250
울산광역시 동구 ,제2종일반주거지역,8909.0,1727422
울산광역시 동구 ,제2종일반주거지역,991.0,208179
울산광역시 동구 ,제2종일반주거지역,3406.0,636155
울산광역시 동구 ,제2종일반주거지역,107.0,10800
울산광역시 동구 ,제1종일반주거지역,7.0,610
울산광역시 동구 ,제2종일반주거지역,6326.0,1125170
울산광역시 동구 ,제2종일반주거지역,9037.0,1607360
울산광역시 동구 ,제2종일반주거지역,64.0,11383
울산광역시 동구 ,제2종일반주거지역,992.0,176441
울산광역시 동구 ,제2종일반주거지역,1.0,178
울산광역시 동구 ,제2종일반주거지역,106.0,18854
울산광역시 동구 ,제2종일반주거지역,1041.0,185157
울산광역시 동구 ,제2종일반주거지역,1143.0,203299
울산광역시 동구 ,제2종일반주거지역,1199.0,213259
울산광역시 동구 ,제2종일반주거지역,1328.0,236204
울산광역시 동구 ,제1종전용주거지역,1428.0,253990
울산광역시 동구 ,제2종일반주거지역,1480.0,263239
울산광역시 동구 ,제2종일반주거지역,1632.0,290275
울산광역시 동구 ,제2종일반주거지역,1767.0,314286
울산광역시 동구 ,제2종일반주거지역,2.0,356
울산광역시 동구 ,제2종일반주거지역,2004.0,356440
울산광역시 동구 ,제2종일반주거지역,254.0,45178
울산광역시 동구 ,제2종일반주거지역,2627.0,467250
울산광역시 동구 ,제2종일반주거지역,30.0,5336
울산광역시 동구 ,제2종일반주거지역,283.0,50336
울산광역시 동구 ,제2종일반주거지역,306.0,54426
울산광역시 동구 ,제2종일반주거지역,316.0,56205
울산광역시 동구 ,제2종일반주거지역,3395.0,603849
울산광역시 동구 ,제2종일반주거지역,355.0,63142
울산광역시 동구 ,제2종일반주거지역,400.0,71146
울산광역시 동구 ,제2종일반주거지역,4018.0,714659
울산광역시 동구 ,제2종일반주거지역,475.0,84486
울산광역시 동구 ,제2종일반주거지역,490.0,87154
울산광역시 동구 ,제2종일반주거지역,5169.0,919381
울산광역시 동구 ,제2종일반주거지역,536.0,95335
울산광역시 동구 ,제2종일반주거지역,5453.0,969894
울산광역시 동구 ,제2종일반주거지역,34.45,380
울산광역시 동구 ,제2종일반주거지역,557.0,160000
울산광역시 동구 ,제2종일반주거지역,119.0,20000
울산광역시 동구 ,제2종일반주거지역,19.0,2234
울산광역시 동구 ,제2종일반주거지역,11.61,50
울산광역시 동구 ,제2종일반주거지역,1.78,45
울산광역시 동구 ,제2종일반주거지역,219.9,33500
울산광역시 동구 ,제3종일반주거지역,45.16,3885
울산광역시 동구 ,제1종일반주거지역,10.0,1710
울산광역시 동구 ,제3종일반주거지역,10.0,4000
울산광역시 동구 ,제2종일반주거지역,168.1,9000
울산광역시 동구 ,제3종일반주거지역,7.5,3000
울산광역시 동구 ,제1종일반주거지역,342.0,38328
울산광역시 동구 ,제1종일반주거지역,349.0,39110
울산광역시 동구 ,제1종일반주거지역,16.0,1500
울산광역시 동구 ,제1종일반주거지역,126.0,14100
울산광역시 동구 ,제1종일반주거지역,187.0,20900
울산광역시 동구 ,제2종일반주거지역,24.5,420
울산광역시 동구 ,제1종일반주거지역,782.5,130000
