,CGV매장,주소
87,CGV해운대,"['부산광역시', '해운대구', '우동']"
88,CGV화명,"['부산광역시', '북구', '화명동']"
89,CGV구미,"['경상북도', '구미시', '원평동']"
90,CGV김천율곡,"['경상북도', '김천시', '율곡동']"
91,CGV김해,"['김해시', '내동', '1131-4번지']"
92,CGV김해장유,"['경상남도', '김해시', '대청동']"
93,CGV마산,"['경남', '창원시', '마산']"
94,CGV북포항,"['경상북도', '포항시', '북구']"
95,CGV안동,"['경상북도', '안동시', '용상동']"
96,CGV양산물금,"['경상남도', '양산시', '물금읍']"
97,CGV창원,"['경상남도', '창원시', '팔용동']"
98,CGV창원더시티,"['경남', '창원시', '의창구']"
99,CGV통영,"['경상남도', '통영시', '북신동']"
100,CGV광양 엘에프스퀘어,"['전라남도', '광양시', '광양읍']"
101,CGV광주금남로,"['광주광역시', '동구', '불로동']"
102,CGV광주상무,"['광주광역시', '서구', '치평동']"
103,CGV광주용봉,"['광주광역시', '북구', '용봉동']"
104,CGV광주첨단,"['광주광역시', '광산구', '쌍암동']"
105,CGV광주충장로,"['광주', '광역시', '동구']"
106,CGV광주터미널,"['광주광역시', '서구', '광천동']"
107,CGV광주하남,"['광주광역시', '광산구', '하남동']"
108,CGV군산,"['전라북도', '군산시', '나운동']"
109,CGV나주,"['전라남도', '나주시', '빛가람동']"
110,CGV목포,"['전라남도', '목포시', '상동']"
111,CGV목포평화광장,"['전라남도', '목포시', '상동']"
112,CGV서전주,"['전주시', '완산구', '효자동3가']"
113,CGV순천,"['전라남도', '순천시', '장천동']"
114,CGV순천신대,"['전라남도', '순천시', '해룡면']"
115,CGV여수웅천,"['전라남도', '여수시', '웅천동']"
116,CGV익산,"['전라북도', '익산시', '영등동']"
117,CGV전주고사,"['전라북도', '전주시', '완산구']"
118,CGV전주효자,"['전라북도', '전주시', '완산구']"
119,CGV정읍,"['전라북도', '정읍시', '수성동']"
120,CGV제주,"['제주특별자치도', '제주시', '이도2동']"
