시군구,번지,지목,용도지역,도로조건,계약년월,계약일,계약면적(㎡),거래금액(만원),지분구분,a,실거래가
울산광역시 울주군,1***,답,제2종일반주거지역,-,201809,17,696.5,42000,지분,17,29253000.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201809,17,116.0,5145,지분,17,596820.0
울산광역시 울주군,5**,전,제2종일반주거지역,-,201809,18,123.0,12000, ,17,1476000.0
울산광역시 울주군,5**,전,제2종일반주거지역,-,201809,18,121.0,12000, ,17,1452000.0
울산광역시 울주군,1***,하천,제1종일반주거지역,-,201809,18,66.0,3040,지분,17,200640.0
울산광역시 울주군,1**,답,제2종일반주거지역,-,201809,18,573.0,33500, ,17,19195500.0
울산광역시 울주군,산7*,임야,제1종일반주거지역,-,201809,18,148.2,4274,지분,17,633406.7999999999
울산광역시 울주군,산3*,임야,제1종일반주거지역,-,201809,18,331.0,5000,지분,17,1655000.0
울산광역시 북구 ,1*,대,제2종일반주거지역,8m미만,201809,18,111.0,9200, ,12,1021200.0
울산광역시 울주군,산7*,임야,제1종일반주거지역,-,201809,19,66.0,1200,지분,17,79200.0
울산광역시 울주군,4**,전,제2종일반주거지역,-,201809,19,301.0,16278, ,16,4899678.0
울산광역시 울주군,4**,전,제2종일반주거지역,-,201809,19,334.0,18374, ,16,6136916.0
울산광역시 울주군,4**,도로,제2종일반주거지역,8m미만,201809,19,126.0,2266, ,16,285516.0
울산광역시 울주군,3**,전,제1종일반주거지역,-,201809,19,66.0,2470,지분,17,163020.0
울산광역시 북구 ,2**,대,제1종일반주거지역,8m미만,201809,19,376.0,23000, ,12,8648000.0
울산광역시 울주군,4**,묘지,제2종일반주거지역,8m미만,201809,19,717.0,30082, ,16,21568794.0
울산광역시 울주군,2*,답,제2종일반주거지역,-,201809,19,1507.0,37500, ,17,56512500.0
울산광역시 울주군,4**,전,제2종일반주거지역,-,201809,19,906.0,42000, ,16,38052000.0
울산광역시 울주군,3**,묘지,제2종일반주거지역,8m미만,201809,19,161.44,7320,지분,16,1181740.8
울산광역시 울주군,2*,답,제2종일반주거지역,-,201809,19,307.0,7500, ,17,2302500.0
울산광역시 울주군,2**,대,제1종일반주거지역,8m미만,201809,20,231.0,20000, ,17,4620000.0
울산광역시 울주군,7**,답,제1종일반주거지역,12m미만,201809,20,118.0,3060, ,17,361080.0
울산광역시 북구 ,1***,도로,제1종일반주거지역,8m미만,201809,20,38.0,500,지분,12,19000.0
울산광역시 울주군,3**,전,제1종일반주거지역,12m미만,201809,21,18.0,1800, ,17,32400.0
울산광역시 울주군,3**,전,제1종일반주거지역,12m미만,201809,21,115.0,11500, ,17,1322500.0
울산광역시 울주군,3**,전,제1종일반주거지역,12m미만,201809,21,156.0,13990, ,17,2182440.0
