지역,대지역,소지역,총인구,65세이상,계,상급종합,종합병원,병원,의원,요양병원,치과,기타,권역
경북청송군,경북,청송군,24160,8554,45.0,0.0,0.0,1.0,13.0,0.0,5.0,8.0,비수도권
경북칠곡군,경북,칠곡군,120983,16216,112.0,0.0,0.0,3.0,44.0,5.0,23.0,19.0,비수도권
경북포항시,경북,포항시,504382,76490,655.0,0.0,5.0,14.0,277.0,32.0,162.0,127.0,비수도권
광주광산구,광주,광산구,420665,35370,486.0,0.0,6.0,16.0,209.0,17.0,144.0,85.0,비수도권
광주남구,광주,남구,217345,34841,320.0,0.0,3.0,15.0,125.0,9.0,103.0,62.0,비수도권
광주동구,광주,동구,99870,20601,231.0,2.0,1.0,6.0,114.0,10.0,57.0,40.0,비수도권
광주북구,광주,북구,450023,59378,596.0,0.0,6.0,21.0,251.0,19.0,182.0,116.0,비수도권
광주서구,광주,서구,302189,38432,538.0,0.0,5.0,18.0,252.0,10.0,149.0,102.0,비수도권
대구남구,대구,남구,150132,32015,242.0,2.0,1.0,7.0,104.0,9.0,56.0,62.0,비수도권
대구달서구,대구,달서구,576746,70300,794.0,1.0,4.0,31.0,372.0,13.0,200.0,172.0,비수도권
대구달성군,대구,달성군,250753,28193,271.0,0.0,0.0,6.0,125.0,6.0,59.0,58.0,비수도권
대구동구,대구,동구,342396,60276,472.0,0.0,1.0,9.0,234.0,8.0,101.0,118.0,비수도권
대구북구,대구,북구,444759,56377,545.0,1.0,1.0,21.0,245.0,11.0,143.0,121.0,비수도권
대구서구,대구,서구,183857,35899,261.0,0.0,1.0,9.0,119.0,8.0,54.0,69.0,비수도권
대구수성구,대구,수성구,418834,59795,743.0,0.0,1.0,15.0,343.0,7.0,169.0,207.0,비수도권
대구중구,대구,중구,76935,14798,451.0,1.0,2.0,12.0,246.0,3.0,113.0,73.0,비수도권
대전대덕구,대전,대덕구,184308,24597,221.0,0.0,2.0,4.0,114.0,4.0,47.0,48.0,비수도권
대전동구,대전,동구,237297,38332,336.0,0.0,1.0,4.0,157.0,12.0,76.0,83.0,비수도권
대전서구,대전,서구,484492,53832,885.0,0.0,3.0,26.0,431.0,13.0,221.0,187.0,비수도권
대전유성구,대전,유성구,365833,29265,441.0,0.0,1.0,11.0,198.0,11.0,103.0,110.0,비수도권
대전중구,대전,중구,239284,41190,375.0,1.0,2.0,5.0,177.0,12.0,87.0,88.0,비수도권
부산강서구,부산,강서구,121351,12550,107.0,0.0,0.0,3.0,48.0,0.0,28.0,20.0,비수도권
부산금정구,부산,금정구,247971,43924,360.0,0.0,1.0,9.0,147.0,22.0,95.0,85.0,비수도권
부산기장군,부산,기장군,160335,23203,174.0,0.0,1.0,5.0,81.0,6.0,41.0,33.0,비수도권
부산남구,부산,남구,282645,48501,363.0,0.0,1.0,8.0,157.0,8.0,99.0,89.0,비수도권
부산동구,부산,동구,84557,20774,174.0,0.0,3.0,5.0,77.0,5.0,37.0,46.0,비수도권
부산동래구,부산,동래구,258386,43977,475.0,0.0,3.0,15.0,187.0,16.0,136.0,117.0,비수도권
부산부산진구,부산,부산진구,357723,62212,790.0,1.0,3.0,18.0,425.0,14.0,168.0,160.0,비수도권
부산북구,부산,북구,291675,42372,364.0,0.0,2.0,10.0,165.0,16.0,90.0,79.0,비수도권
부산사상구,부산,사상구,226961,33983,243.0,0.0,2.0,9.0,112.0,18.0,58.0,43.0,비수도권
부산사하구,부산,사하구,326655,52035,413.0,0.0,0.0,18.0,181.0,25.0,102.0,86.0,비수도권
부산서구,부산,서구,107028,23846,148.0,3.0,1.0,4.0,62.0,6.0,34.0,37.0,비수도권
부산수영구,부산,수영구,170296,33451,305.0,0.0,2.0,8.0,122.0,11.0,80.0,81.0,비수도권
부산연제구,부산,연제구,199887,34800,353.0,0.0,1.0,10.0,150.0,16.0,92.0,83.0,비수도권
부산영도구,부산,영도구,120731,27570,148.0,0.0,2.0,1.0,74.0,5.0,31.0,34.0,비수도권
부산중구,부산,중구,42766,9975,141.0,0.0,1.0,2.0,67.0,5.0,39.0,26.0,비수도권
부산해운대구,부산,해운대구,396311,60622,653.0,0.0,2.0,14.0,319.0,18.0,164.0,133.0,비수도권
서울강남구,서울,강남구,507810,63169,2623.0,2.0,2.0,33.0,1618.0,9.0,582.0,376.0,수도권
