"가구주연령별","가계수지항목별",2003 1/4,2003 2/4,2003 3/4,2003 4/4,2004 1/4,2004 2/4,2004 3/4,2004 4/4,2005 1/4,2005 2/4,2005 3/4,2005 4/4,2006 1/4,2006 2/4,2006 3/4,2006 4/4,2007 1/4,2007 2/4,2007 3/4,2007 4/4,2008 1/4,2008 2/4,2008 3/4,2008 4/4,2009 1/4,2009 2/4,2009 3/4,2009 4/4,2010 1/4,2010 2/4,2010 3/4,2010 4/4,2011 1/4,2011 2/4,2011 3/4,2011 4/4,2012 1/4,2012 2/4,2012 3/4,2012 4/4,2013 1/4,2013 2/4,2013 3/4,2013 4/4,2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4
"가구주연령별","가계수지항목별",전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구
"39세이하가구","소비지출 (원)",1658190,1653395,1678477,1691644,1775828,1684382,1752540,1812181,1896170,1805248,1900967,1872346,1969462,1915995,1863807,1945819,2040224,1972162,2057544,2062843,2175309,2133246,2134500,2111774,2090912,2173767,2174124,2268987,2317485,2321300,2361834,2432786,2452947,2512547,2445114,2512363,2532827,2454745,2415349,2486697,2595927,2501789,2530144,2580838,2707324,2590777,2688817,2563015,2695487,2571100,2539979,2630289,2600614,2619645,2509377,2635660
"40~49세가구","소비지출 (원)",1927518,1833017,1937553,1906296,2120660,1974378,2066749,1989131,2232623,2041914,2157865,2089394,2338782,2140240,2241107,2241654,2400511,2200794,2329658,2255354,2624738,2278251,2471570,2317847,2541777,2418893,2584456,2556044,2767458,2560456,2698878,2678326,2916695,2652348,2863267,2719217,3068496,2764511,2938513,2809960,3056509,2875987,2943735,2878413,3113850,2916650,3004042,2921486,3141152,2962294,3084907,3029381,3281738,2985018,3147203,2946545
"50~59세가구","소비지출 (원)",1795209,1650585,1759552,1730164,1953821,1713831,1843946,1784609,1991858,1758659,1929482,1884896,2076759,1804411,2017168,2090905,2219209,1925165,2145533,2076321,2267106,2098658,2230853,2135086,2252364,1996216,2280840,2248179,2456074,2165705,2397786,2283059,2565286,2262602,2631412,2373718,2694131,2455152,2625036,2452618,2675786,2389691,2678657,2560010,2907241,2584308,2816381,2703529,2894691,2635010,2767868,2647400,2970127,2693298,2903017,2597197
"60세이상 가구","소비지출 (원)",1193995,1181786,1182654,1221220,1244733,1223579,1262142,1304470,1285181,1214437,1297151,1303797,1342847,1254418,1277247,1379431,1392307,1331516,1357901,1457127,1452310,1354312,1408148,1427838,1319519,1369621,1402097,1476489,1440632,1472614,1475984,1547695,1527535,1524725,1550069,1652326,1665577,1621324,1608669,1644802,1554249,1568260,1547333,1683813,1639565,1578152,1576670,1644076,1691884,1649107,1668867,1758971,1666456,1615354,1638168,1639978
