,30技 固父,30~39技,40~49技,50~59技,60技捞惑
2012,7671.0,18342.0,27460.0,35116.0,27640.0
2013,7152.0,17745.0,25864.0,34894.0,29140.0
2014,7296.0,17970.0,26156.0,35393.0,29463.0
2015,7373.0,19207.0,26467.0,34940.0,31346.0
2016,6956.0,20109.0,29125.0,36113.0,32218.0
2017,7489.0,21904.0,31246.0,37026.0,33772.0
2018,7509.0,23186.0,34426.0,39419.0,35817.0
