"시도별(1)","설립주체별(1)",2018
"시도별(1)","설립주체별(1)",학교수 (개)
"총계","계",2358
"서울","계",320
"부산","계",143
"대구","계",93
"인천","계",125
"광주","계",67
"대전","계",62
"울산","계",57
"세종","계",17
"경기","계",474
"강원","계",117
"충북","계",84
"충남","계",117
"전북","계",133
"전남","계",142
"경북","계",187
"경남","계",190
"제주","계",30
